OBJECTID,COUNTYNBR,NAME,COUNTYSEAT,SHORTDESC,UPDATED,FIPS,ENTITYNBR,SALESTAXID,IMSCOLOR,MINNAME,POPLASTCENSUS,POPLASTESTIMATE,UGRCODE,GNIS,GlobalID,Shape__Area,Shape__Length
251,26,Hideout,0,HIDEOUT (WASATCH),1604448000000,35120,3024,020,3,,922,1315,HDT,2519168,3cf5f60b-b6ba-4f47-884b-6b07e268986d,21146979.640838623,37515.51636351042
252,23,Erda,0,ERDA,1656374400000,23640,,,3,City of Erda,,,ERD,,4573b63c-c3de-49c9-ab00-7b680f859e39,182716217.69724274,103267.76504406227
253,23,Lake Point,0,LAKE POINT,1671580800000,,,,4,Lake Point,,,,,dbd9619e-3917-4608-956f-8ff368b2916d,20665274.98275757,33677.56191959451
254,18,Magna City,0,MAGNA CITY,1723161600000,47290,3903,,2,,,,,,50b0d107-f682-4ac3-8b83-12f555310567,169202071.56996155,95438.77308875948
255,18,Emigration Canyon,0,EMIGRATION CANYON,1721088000000,22875,3901,,2,Emigration Canyon,1466,1484,,,0d3921ad-c329-4fa2-bf0e-0cb9e21a6a83,82398919.91796875,43970.7040667015
256,18,Kearns,0,KEARNS,1724716800000,40470,3902,,1,Kearns,36723,37249,KMT,,91c04222-9221-4b38-9a46-83cc1258a5a6,20857128.890625,23112.19587860507
257,18,Copperton,0,COPPERTON,1724112000000,15720,3900,,4,Copperton,829,840,CMT,,59954052-f08a-466c-9879-7a9439e014e8,1407033.2578125,8080.141764395627
258,18,White City,0,WHITE CITY,1724630400000,84050,3904,,3,White City,5522,5598,WMT,,60ae36a4-97e5-444e-b0ec-f281e45aed7a,3930916.25390625,18516.50345941596
259,03,Logan,1,LOGAN CITY,1676505600000,45860,3070,038,4,Logan,,,LOG,1442849,08a04e9f-47c7-4159-9409-c102bc4aed32,87233484.59765625,105278.0569846665
260,29,Ogden Valley City,0,OGDEN VALLEY,1768176000000,56320,,,2,,,,,,9f4e695a-0b53-4566-97eb-634096741664,290417643.3515625,182220.69859671572
261,25,Spring Lake,,SPRING LAKE,1768521600000,72175,,,2,,,,,,736b514c-8a8f-4ea8-b858-df2cf3f8589e,8305619.89453125,33463.93852667294
