OBJECTID,COUNTYNBR,NAME,COUNTYSEAT,SHORTDESC,UPDATED,FIPS,ENTITYNBR,SALESTAXID,IMSCOLOR,MINNAME,POPLASTCENSUS,POPLASTESTIMATE,UGRCODE,GNIS,GlobalID,Shape__Area,Shape__Length
95,11,Paragonah,0,PARAGONAH,1665014400000,57960,3050,018,4, ,536,568,PGH,1431094,3a9edaed-f18e-4532-afa1-461a8ea22960,2696555.62890625,14415.294687212769
96,09,Henrieville,0,HENRIEVILLE,1292371200000,34750,3060,008,2, ,221,231,HRV,1428663,e7bb8864-880c-4fb6-a586-c32848aa2503,5516872.59765625,11190.971486721102
97,08,Elmo,0,ELMO,1772755200000,22540,3040,007,2, ,405,415,ELM,1427806,e9e9b885-1830-485f-8472-aa13bf703227,3174904.01171875,10413.27036488614
98,29,Ogden,2,OGDEN CITY,1616112000000,55980,3050,027,1,Ogden,87321,86825,OGD,1444049,099e187a-e868-4efe-b4f2-ef9d2c50153b,125988778.16234401,82449.10953375087
99,02,Perry,0,PERRY CITY,1337904000000,59390,3110,086,3, ,5555,5828,PER,1455150,727b8c2c-9cac-4134-a435-14e84185ca13,37342575.35546875,33509.4128634196
100,29,South Ogden,0,SOUTH OGDEN,1676419200000,70960,3100,040,1, ,17488,17716,SOG,1445910,cf8fa2d9-eb97-471c-b8ae-0030c5fdcebc,17907824.185310364,29010.917266259275
101,03,Millville,0,MILLVILLE,1764028800000,50370,3090,044,2, ,2326,2435,MIL,1443496,05c5c967-912c-4e4b-af4d-048e7cb835ab,11917700.4609375,29297.830635995255
102,18,Riverton,0,RIVERTON,1571961600000,64340,3060,118,2, ,45285,44599,RVT,1431862,57649389-4039-46b0-8f43-bcc46243fd12,56551782.40686798,45927.74872515708
103,18,Cottonwood Heights,0,COTTONWOOD HEIGHTS,1765324800000,16270,3025,020,2,,33617,32420,COT,1440025,27892964-07d0-42a5-9a5b-ec8546fec27a,42564117.03385162,40480.19353492553
104,14,Hinckley,0,HINCKLEY,1675209600000,35740,3030,023,2, ,614,630,HIN,1428726,a623a163-7915-47d5-a775-3b808708cd6a,21743353.9140625,22588.870162661
105,07,Tabiona,0,TABIONA,1602201600000,74920,3050,020,4,Tabiona,143,153,TAB,14331156,ed89de3b-7c95-4c50-a65b-dc4a7c12fb12,621671.0234375,3748.399467623537
106,14,Meadow,0,MEADOW,,48830,3080,034,1, ,320,347,MEA,1430198,e4a9ff1e-9b79-4bb6-a7d1-9c5d9b95b62a,2196271.2578125,9945.726501799716
107,18,Brighton,0,BRIGHTON,1577923200000,08570,3022,18010,2,Brighton,432,441,BRT,1439115,0f0a767b-5b6d-472f-aade-7f6e487ff467,71423836.3125,45642.20670710119
108,24,Naples,0,NAPLES,1327881600000,53560,3020,014,2, ,2280,2399,NAP,1430636,fce61ab1-0036-4988-9d08-1f948c948534,29556561.8515625,29803.278867181838
109,29,Hooper,0,HOOPER,1528848000000,36400,3025,018,2, ,9087,9300,HOO,1428807,a76a399d-22f5-43fd-a9dc-184971d9cb3d,402401737.79296875,115414.29722761057
110,03,North Logan,0,NORTH LOGAN,1777334400000,54990,3120,049,1, ,10986,11616,NLO,1443956,1437d48c-f3bf-4486-9e29-f2e0fd63107e,33225450.635326385,31545.098929966087
111,25,Alpine,0,ALPINE,1504224000000,00540,3010,001,4, ,10251,10304,ALP,1438174,36c526c7-b123-489e-b2c1-e18fee3ab300,35743221.273742676,34232.241033193415
112,06,Sunset,0,SUNSET,1327881600000,74480,3110,048,2, ,5475,5372,SUN,1451459,56a93f62-0b91-4bfc-9d52-e7f9b5903015,6703787.10546875,11531.104042034645
113,03,Hyde Park,0,HYDE PARK CITY,1777334400000,37390,3040,032,2, ,5234,5584,HYD,1441964,3f259347-b1d5-4c4a-8d48-e539970b4a02,22385542.65097809,32820.821256862684
114,22,Francis,0,FRANCIS,1775520000000,26940,3020,013,2, ,1564,1722,FRA,1428080,6f348885-4757-4e99-882d-53a81215d34a,18190976.381648958,51605.685079028066
115,06,Clearfield,0,CLEARFIELD,1418774400000,13850,3030,008,4, ,31909,34062,CLR,1439799,ce4d26b8-b762-410a-a6e6-9978b6e1f2b3,35244679.420784,31879.88641174326
116,21,Monroe,0,MONROE,1564963200000,51360,3070,031,3, ,2515,2615,MRO,1443556,60be9644-06fa-4abe-a197-6edb1ca680eb,15174186.84765625,17590.555158940457
117,18,Draper,0,DRAPER CITY (SL CO),1709164800000,20120,3030,029,1,Draper City,51017,50731,DRA,1427473,0b743149-796c-4e3d-8acd-e526bf2868da,98541620.01518536,65161.60360420181
118,27,Leeds,0,LEEDS,1300838400000,44100,3060,012,1, ,864,871,LEE,1442480,65f3bc83-113d-4e0f-8e79-a11a55ba3775,25764132.23828125,56051.23245785941
119,13,Alton,0,ALTON,,00870,3010,001,4, ,118,117,ALT,1438182,0b20124b-e4c7-4bca-9df8-4de4f3dc3b44,9554227.359375,21713.474045201354
120,20,Centerfield,0,CENTERFIELD,1433808000000,11870,3010,004,1, ,1341,1398,CFD,1426506,03a37809-a858-4234-987e-727ede732a42,8221643.55859375,11547.070437592645
121,14,Lynndyl,0,LYNNDYL,,46740,3070,030,2, ,111,124,LYN,1430025,a7aa7a79-0990-433b-be11-56c925cdc8c8,13645401.26953125,21155.815602380386
122,06,West Bountiful,0,WEST BOUNTIFUL,1606694400000,82840,3130,061,2, ,5917,5888,WBO,1447113,bd5b6db7-1806-4dd0-bd2e-99f899ccaf6c,15093115.203125,23156.37356324253
123,08,Cleveland,0,CLEVELAND,1673222400000,14070,3030,004,1, ,497,510,CLE,1426712,d2058dcf-b173-43a5-8d4f-c026747845d5,3879035.21875,12015.076482348224
124,29,Washington Terrace,0,WASHINGTON TERRACE,1443744000000,82070,3120,049,4, ,9267,9160,WTR,1447026,55707fce-46a7-47a9-8559-76a399c68f2f,9201901.587020874,17904.485476792048
125,19,Bluff,0,BLUFF,1777334400000,06700,3015,19,4,Bluff,240,243,BLF,1425842,04e862b2-19e4-4868-9cdc-977536282182,117650330.81860352,88463.17285862884
126,29,Harrisville,0,HARRISVILLE,1628035200000,33540,3020,016,4, ,7036,6876,HAR,1441617,49058061-c24f-4d31-9f4a-13f249794a05,13699796.79296875,23944.762624918934
127,09,Boulder,0,BOULDER,1292371200000,07470,3020,002,1,Boulder,227,241,BLD,1437510,402d0090-cbfa-4d09-a8b7-dd6ec3e57f2d,87335457.32421875,49048.10785667523
128,07,Roosevelt,0,ROOSEVELT,1668470400000,64670,3040,019,3,Roosevelt,6747,7097,ROS,1431989,82e67a50-f7de-426b-9e83-ff58192e239b,32195354.405792236,77153.89689878652
129,22,Coalville,1,COALVILLE,1531180800000,14840,3010,006,1, ,1486,1524,COA,1426770,edc461c9-14d8-4c73-8d59-c73b714bba91,30033749.58984375,39947.262406285634
130,21,Redmond,0,REDMOND,1283212800000,63240,3080,033,2, ,762,796,RED,1444843,31ea2855-2536-4eee-9393-ff65af54ef99,4114719.54296875,13095.07165000867
131,18,Millcreek,0,MILLCREEK,1595808000000,50150,3045,,3,Millcreek,63380,63034,MLC,1867579,56cc392e-687a-41a4-ab07-f8e99a605b82,58284953.51715793,71483.26256755169
132,06,Syracuse,0,SYRACUSE,1705881600000,74810,3120,049,3, ,32141,35561,SYR,1433147,019db465-83ae-4224-9022-4e29b923c088,47501980.641204834,42589.248360109006
133,03,Richmond,0,RICHMOND,1665100800000,63680,3150,059,2, ,2914,2986,RCM,1444892,af166bc2-17ea-43bc-97d4-3c31c12cfa5c,16316990.7578125,23085.120154947406
134,16,Circleville,0,CIRCLEVILLE,1285545600000,12970,3010,003,1, ,550,544,CIR,1439749,b37c5c4c-9550-46d3-9e1c-345e2d50b213,46410072.69921875,35121.96300619544
135,08,Green River,0,GREEN RIVER,1469145600000,31670,3062,011,2,Green River,847,876,GRE,1428398,d9ed091c-95c6-4318-9810-0131a3a3bcde,117048647.60546875,111962.18451795285
136,25,Provo,1,PROVO,1772064000000,62470,3150,090,4,Provo,115162,113523,PVO,1444661,b560c3a9-176c-4ac5-9567-2382489da1a9,199116586.14445055,115168.27149843879
137,25,Lindon,0,LINDON,1538092800000,45090,3100,070,3, ,11397,11704,LIN,1442630,2229c6f9-4a2e-4094-b711-a2fc469cba62,38072403.49609375,38584.618216589966
138,20,Sterling,0,STERLING,1516924800000,72940,3120,032,4, ,274,289,STE,1446134,372e4916-084f-4f90-a7d5-e6433141b211,1392236.86328125,7852.41498752875
139,07,Altamont,0,ALTAMONT,1765497600000,00760,3010,001,1, ,239,245,AMT,1425096,3de4fd37-f866-4776-bc42-3379bf3d9426,1209076.44921875,5000.669275733282
140,16,Junction,1,JUNCTION,1285545600000,39590,3020,005,2,Junction,212,211,JCT,1442250,4ca8e8a3-9166-49fb-92e4-516072c1e78a,57201230.4921875,35054.52022226549
141,06,Kaysville,0,KAYSVILLE,1705881600000,40360,3070,026,4,Kaysville,32945,32761,KAY,1442285,4b6c030f-80c8-44bb-9e9a-1c2571594beb,48534373.27734375,54944.8850693874
142,26,Park City,0,PARK CITY (WASATCH CO),1316736000000,58070,3060,013,1,Park City,8396,8374,PKC,1444206,e2b76c42-e991-458f-93d6-d50597bb37d5,1965126.5703125,9471.24593414698
143,06,Clinton,0,CLINTON,,14290,3040,059,3, ,23386,23538,CLI,1426725,cfdcc968-1736-4bbf-804a-3cd470b6e0ed,27255882.66015625,27734.89890609986
144,21,Koosharem,0,KOOSHAREM TOWN,1781568000000,41680,3060,029,3, ,244,251,KOO,1442357,58b71994-48a0-4b88-90e8-9730a708d641,4318900.382505417,12185.010563324246
145,02,Brigham City,1,BRIGHAM CITY,1754870400000,08460,3020,017,2,Brigham,19650,19963,BGM,1439109,85fa492d-5d3a-49f5-becb-94a3276f0b94,121841930.23920941,93508.20685143792
146,03,Providence,0,PROVIDENCE,1670371200000,62360,3140,056,3, ,8218,8995,PVD,1444657,fd79fcfe-3f87-419d-95ea-2caa652f57bc,18759409.6953125,23995.423495856776
147,18,South Salt Lake,0,SOUTH SALT LAKE CITY,1542153600000,71070,3100,139,1,South Salt Lake,26777,26003,SSL,1432753,978150c0-878e-4831-a86b-789f51436843,31314557.28515625,26386.494329601774
148,08,Castle Dale,1,CASTLE DALE,1647993600000,10660,3010,001,1,Castle Dale,1492,1530,CDL,1426380,68a7cbcb-ea39-4b48-80d6-c4e0cc51f900,9759296.82421875,22193.26075797915
149,02,Honeyville,0,HONEYVILLE CITY,1337904000000,36290,3080,054,1, ,1606,1725,HON,1428800,975f4368-2532-4271-9c58-885a33bad8f7,54416686.5234375,44445.85549030428
150,11,Kanarraville,0,KANARRAVILLE,1292371200000,40030,3040,012,3, ,442,467,KNV,1429278,61842f63-d623-407b-9b9b-8c5e7fe59bf3,1786502.1953125,6325.899135678217
151,06,North Salt Lake,0,CITY OF NORTH SALT LAKE,1672790400000,55210,3090,035,1, ,21907,22537,NSL,1443971,776cc2f6-a953-4f8a-bbdc-03798492094b,39380300.05859375,40983.19020322274
152,20,Mayfield,0,MAYFIELD,1782172800000,48720,3080,021,3, ,556,583,MAY,1443237,9c361e92-fcef-4a5b-b8a4-d78cd9a28b17,3877603.3984375,14855.399937511602
153,20,Moroni,0,MORONI,1328140800000,52130,3090,023,1, ,1544,1617,MRI,1430498,1130be2c-aad6-4f09-bd06-835f92ed2c54,4639207.41796875,10455.567733646496
154,22,Henefer,0,HENEFER,1760400000000,34640,3030,017,2, ,838,837,HNF,1428658,ad874058-1779-4c8f-ba48-b2605ec6a9dc,11466118.140625,33931.43923585121
155,14,Scipio,0,SCIPIO,,67880,3100,040,4,Scipio,353,366,SCI,1445376,1f5acfd0-bd9b-4c60-aca7-1761fcb3eddf,4469919.69140625,12496.533365882144
156,01,Milford,0,MILFORD,1397433600000,50040,3020,008,2,Milford,1431,1454,MLF,1430317,2365f9d9-22fb-43dd-b737-bfdf7b0b02cd,8927543.63671875,18338.1337301293
157,06,Farmington,1,FARMINGTON,1660521600000,24740,3050,017,3,Farmington,24531,25660,FRM,1441004,e75d4c3f-6c20-4e87-bc28-3fffd4ab521a,45680199.5390625,41646.19958001142
158,28,Bicknell,0,BICKNELL,1288828800000,05490,3010,001,1, ,323,337,BIC,1438623,425784b1-4124-41db-9af8-59827c46e4b3,2417894.66796875,8842.088521212881
159,17,Randolph,1,RANDOLPH,1765324800000,63020,3030,005,2,Randolph,467,491,RAN,1431567,442e59b6-5820-402f-b4f4-4fd3527db027,6028944.11328125,17490.796641700792
160,06,Bountiful,0,BOUNTIFUL,,07690,3010,004,3,Bountiful,45762,44481,BTF,1439039,71f0212e-ceee-45d4-aa32-ccbfb3d7c67b,59929887.1875,52005.696751918986
161,07,Duchesne,1,DUCHESNE,1556236800000,20340,3020,008,2,Duchesne,1588,1623,DUC,1427601,eb7ac5e1-25f3-4f87-ac1d-a0db8f9031f2,12420749.52734375,29211.90669735901
162,25,Bluffdale,0,BLUFFDALE (UTAH CO),1323907200000,06810,3020,019,4,,17014,19080,BDL,1425844,5ab6798f-931b-4499-ae4a-510a43419dbb,3033724.561855316,8752.870622956674
163,22,Oakley,0,OAKLEY,1772582400000,55650,3050,029,4, ,1588,1599,OKL,1444043,41bfcd5f-339c-4121-9dd7-05feb9154a57,32006217.7890625,34790.68288824957
164,26,Daniel,0,DANIEL ,1757894400000,34200,3015,005,2,,916,887,DAN,1455872,2bf0b5bc-cedb-4dc4-940e-73f90bf27828,14809298.20703125,34953.02725808055
165,02,Willard,0,WILLARD CITY,1716854400000,84710,3160,120,1, ,1978,2224,WIL,1447372,5667edb6-bfc8-4e6a-8705-550b97a6849e,34474059.83203125,40925.19769438525
166,03,Trenton,0,TRENTON,1588896000000,77230,3180,081,4, ,512,521,TRN,1433666,ed8bc4da-c42c-4eb1-ac74-d7aa8c53a380,38786083.01953125,35353.97038197954
167,18,West Valley City,0,WEST VALLEY CITY,1328140800000,83470,3120,167,3,West Valley,140230,136650,WVC,1437843,3e347e32-f2da-42ea-933a-2ac8444b753d,161526538.3203125,75182.49470534545
168,24,Vernal,1,VERNAL,1765497600000,80090,3030,024,4,Vernal,10079,10432,VER,1433885,887bc29c-cce4-49f4-aa3b-d49f5422bbb8,21379693.381591797,50607.43837005003
169,02,Corinne,0,CORINNE CITY,1337904000000,15830,3030,025,4, ,809,853,COR,1439951,9d0649cf-060b-4126-91ff-f6e58f1271ff,17860940.12109375,26640.85156845592
170,27,La Verkin,0,LA VERKIN CITY,1121817600000,43440,3050,011,3, ,4354,4531,LAV,1429398,dcdfa709-4550-4d6b-b4de-c3d3f618c977,55850443.40625,42817.95299679068
171,14,Oak City,0,OAK CITY,1775520000000,55430,3090,037,4, ,595,630,OKC,1444013,e46df441-a7c3-4925-9fb3-24039fc1e124,5078929.359893799,14322.673712931277
172,25,Santaquin,0,SANTAQUIN CITY (UTAH CO),1779062400000,67770,3170,097,3, ,13725,16898,SAQ,1445329,181e3636-88ad-4cc3-8d71-35d2efa03794,45858645.33536482,69647.70451716988
173,10,Moab,1,MOAB CITY,1774224000000,50700,3020,011,3,Moab,5366,5321,MOA,1430389,9b8ea6ed-ca5c-43a9-b7a1-df0a510af13a,20448941.63957596,60220.209000146104
174,25,Eagle Mountain,0,EAGLE MOUNTAIN,1655942400000,20810,3047,030,2, ,43623,54149,EAG,1759211,d1b47e68-edc4-4bd7-bafa-1adf266037c4,228031790.7890625,104693.1947728064
175,25,Fairfield,0,FAIRFIELD,,24410,3055,035,3, ,160,156,FFD,1427871,f799fb5c-545f-4813-8c5f-597384e27d2d,116292665.02734375,55543.88392887749
176,03,River Heights,0,RIVER HEIGHTS,1500595200000,64120,3160,060,1, ,2144,2147,RVH,1444991,85550a1c-0a4c-4925-91e5-42f056250b9a,3077781.6070747375,15394.562244777238
177,02,Fielding,0,FIELDING,1510876800000,25290,3060,041,1, ,546,591,FIE,1441035,4c1aae04-00fc-4bcb-a8e6-09b93aded940,2598056.97265625,11837.148762105593
178,15,Morgan,1,MORGAN,1387152000000,51910,3010,007,3,Morgan,4071,4455,MRG,1430488,66428d79-35d5-4ee8-ac79-2d844df3acae,13889756.7421875,22702.585024582913
179,20,Spring City,0,SPRING CITY,1713398400000,71730,3110,031,4, ,949,,SPC,1445992,66a30fda-5150-42d1-85ce-782000661678,6412196.98828125,12223.977845160132
180,21,Salina,0,SALINA,1676419200000,65880,3100,035,4,Salina,2441,2565,SLN,1445269,ee1204cd-2c2c-4dfc-a285-6c34baee50da,25203447.1328125,39791.39004336438
181,18,South Jordan,0,SOUTH JORDAN,1684454400000,70850,3090,138,3,South Jordan,77487,83513,SJC,1432728,8795d2fd-beb0-4672-8fd5-3ab331303e27,116033501.54989624,69303.494988056
182,28,Hanksville,0,HANKSVILLE TOWN,,33100,3015,005,2,Hanksville,158,171,HAN,1428508,ea0c35c5-7cb3-42c4-862f-f239a070b29c,7249783.95703125,14221.693557106004
183,03,Hyrum,0,HYRUM,1608249600000,37500,3050,033,3, ,9362,10594,HYR,1441968,d968bcfe-3ae9-4759-8b42-7ea15605e632,28900838.58203125,52637.828353130615
184,14,Leamington,0,LEAMINGTON TOWN,,43880,3060,028,3, ,256,269,LEA,1429508,7c31af21-0f14-4297-887a-1d167eb34a0d,6827752.83203125,11052.480824420014
185,25,Spanish Fork,0,SPANISH FORK,1762214400000,71290,3180,103,1,Spanish Fork,42602,44102,SFK,1445945,a0820dd8-c601-4740-8d09-e4caa01a44a0,82849900.30371094,91029.2671458078
186,03,Amalga,0,AMALGA,1346371200000,01090,3010,001,1, ,482,500,AMG,1437485,3eef709c-a380-4035-8022-62c33de81321,16579396.25390625,32788.58312102679
187,02,Snowville,0,SNOWVILLE TOWN,1337904000000,69970,3140,100,4,Snowville,163,161,SNO,1432604,6b9b34d5-bf4e-434a-b7b7-ea755fd55421,7190607.9921875,10959.855029421087
188,09,Tropic,0,TROPIC,1292371200000,77560,3080,015,4, ,486,505,TRO,1446722,40c969fe-52e6-4999-a159-448df1bc1ae1,32791204.734375,30541.338504256622
189,09,Hatch,0,HATCH,1356652800000,33760,3050,006,2, ,132,142,HAT,1428572,c4f39c20-0fa1-423f-a848-0aea56021f96,7544729.300826073,14477.027364713744
190,18,Sandy,0,SANDY CITY,1780358400000,67440,3080,131,4,Sandy City,96904,93022,SAN,1455905,53f7beac-3212-4c0f-b803-5a1f24ba3ede,110327054.13180405,155971.01772180275
191,27,Hildale,0,HILDALE CITY,,35300,3020,035,2, ,1127,1184,HIL,1450387,537e2945-0326-4919-89bc-5b90f30c3cc7,36859181.328125,50663.88982684863
192,02,Garland,0,GARLAND,1772755200000,28150,3070,044,1, ,2589,2613,GAL,1428146,00a2972c-7b2a-4064-b436-5bea61fd68a8,8719128.234375,26356.609853230686
193,10,Castle Valley,0,CASTLE VALLEY,1190160000000,11000,3010,005,1, ,347,360,CSV,1450284,ace85d64-4e35-445a-a53d-8cc508940244,37360377.47265625,31034.026749520206
194,29,Uintah,0,UINTAH,1613001600000,77890,3110,043,3, ,1454,1422,UIN,1446835,e5612acc-0ca2-4f44-8126-527a40314478,5738380.4839372635,18597.970103574375
195,29,Marriott-Slaterville,0,MARRIOTT-SLATERVILLE CITY,1694649600000,48300,3035,022,4, ,2135,2206,MSL,1851823,5b117e45-2df8-4514-b674-f6dd84da10d5,34812061.96650696,36462.96925145142
196,26,Charleston,0,CHARLESTON,1753056000000,12420,3010,003,4, ,436,421,CHA,1426539,f0f68ce3-3988-41f3-bb17-c259439d2846,15037905.74098587,23267.213836404608
197,28,Lyman,0,LYMAN,,46410,3030,008,3, ,196,220,LYM,1430020,fdde71bb-6f63-4d60-9190-d2be0bef0560,7634116.296875,13378.648210437163
198,18,West Jordan,0,WEST JORDAN CITY,1647907200000,82950,3110,155,2, ,116961,116664,WJC,1434086,f3651b36-d589-4be5-8816-85197630f687,147750691.13502502,69278.249695587
199,25,Highland,0,HIGHLAND,1688947200000,35190,3080,099,2, ,19348,19902,HGH,1448472,8069aea4-cfc8-4484-9f95-fb7719a5b49f,38894315.53883958,53363.99082324197
200,08,Orangeville,0,ORANGEVILLE,1332720000000,56860,3080,016,4, ,1224,1258,ORA,1431021,5e04a99c-c393-490c-8171-4d1dba63c73e,6141808.515625,18712.6188530369
201,26,Heber City,1,HEBER CITY,1776643200000,34200,3020,008,3,Heber,,17865,HEB,1455878,e3ee7aea-c79f-463f-8f47-14fe3fb8ac8e,112446701.57226467,95105.85421377106
202,18,Alta,0,ALTA,,00650,3010,003,3, ,228,227,ALA,1437483,0c9a372b-1066-437c-86e3-d08c13147a31,20350476.8515625,23115.252385881497
203,21,Glenwood,0,GLENWOOD,1283212800000,29580,3040,018,2, ,474,491,GLW,1441332,ce2d809b-965c-494f-989c-6de4116748a6,2218148.41796875,6144.2955369035235
204,04,Helper,0,HELPER CITY,1675296000000,34530,3020,016,2,Helper,2112,2131,HEL,1428654,840d6526-8ace-4bcf-929c-6b05a5c04447,7925086.974620342,19810.569100434084
205,14,Holden,0,HOLDEN,,35960,3040,024,3, ,438,458,HDN,1428763,dcdb5ea7-0fdd-4c86-ae35-e97f0a41e96d,2595094.93359375,8905.302490370746
206,13,Kanab,1,KANAB CITY,1676505600000,39920,3040,004,4,Kanab,4683,5131,KNB,1429276,1ec3b056-ba25-46c6-bc11-d678c3dd10f8,63367452.25,43974.97950250658
207,12,Mona,0,MONA,1716508800000,51140,3030,024,3, ,1750,1906,MNA,1443548,77e6d297-6955-4f52-bd51-723efd410b62,12177197.373485565,18427.77339956401
208,25,Cedar Hills,0,CEDAR HILLS,1665014400000,11440,3040,123,3, ,10019,9956,CHL,1455858,0a1f3583-7527-4939-a4a4-fff2b06bdc15,12268860.69140625,28507.42244077209
209,06,Woods Cross,0,WOODS CROSS CITY,1432857600000,85370,3150,057,4, ,11410,11487,WCR,1447521,691603cd-5273-4e91-aa2a-3ba6816ad1bd,17402206.27734375,25597.627252671064
210,20,Ephraim,0,EPHRAIM,1769904000000,23530,3020,008,2,Ephraim,5611,5937,EPH,1440944,a5c6d355-899e-494d-8f73-63e6ac839556,22322745.484375,35287.107497666686
211,19,Monticello,1,MONTICELLO,1591401600000,51580,3020,009,3,Monticello,1824,1752,MTC,1443568,b37afcac-fb11-4ba1-9ef0-711eee1ea2d8,13946669.171875,26656.588956752916
212,25,Goshen,0,GOSHEN,1235433600000,30130,3070,043,1, ,978,959,GOS,1428272,f3ae2b1d-9368-4f0b-a812-4306876c74d6,3622529.83203125,9937.3039630066
213,25,Pleasant Grove,0,PLEASANT GROVE,1698883200000,60930,3140,088,4, ,37726,37630,PGR,1444479,93491a5f-0926-4b39-acef-d432512b268e,40976170.078125,43582.849091874974
214,11,Parowan,1,PAROWAN,1760486400000,58510,3060,019,2,Parowan,2996,3171,PWN,1444224,c499d5d2-598c-4a93-ac32-587da413cc69,31050164.860754967,61034.15158059311
215,04,East Carbon,0,EAST CARBON CITY,1387324800000,20890,3010,,1,East Carbon City,1556,1567,ECC,2410386,b73e5c20-015a-4f67-b9d4-4f6d6eedeee0,49160683.3359375,57584.251595257374
216,21,Annabella,0,ANNABELLA TOWN,1283212800000,01750,3010,001,1, ,836,872,ANN,1438228,d83cc74b-8403-43a9-a888-08e5ffd24323,2773608.9296875,10650.579164800874
217,06,Layton,0,LAYTON,1770163200000,43660,3080,030,1,Layton,81773,82601,LAY,1442459,fae23671-13a5-48c3-ba08-e9597c12ba01,103831672.3011446,87512.82944823116
218,04,Price,1,PRICE,1331164800000,62030,3030,035,4,Price,8216,8262,PRI,1431465,424ecbd0-c03c-4ccd-9d53-6e1fe27b7622,21984077.43359375,28787.368327913206
