OBJECTID,COUNTY_NAME,ROAD_NAME,OWNERSHIP
566556,WASHINGTON,BREEZEWOOD DR,COUNTY
566557,WASHINGTON,VALLEY OVERLOOK CT,COUNTY
566611,WASHINGTON,APPLEWOOD CIR,COUNTY
566619,WASHINGTON,MILESTONE TERR,COUNTY
566757,WASHINGTON,FUNKHOUSER RD,COUNTY
567018,WASHINGTON,MOUNTAIN ASH RD,COUNTY
567058,WASHINGTON,LITTLE ANTIETAM RD,COUNTY
567076,WASHINGTON,ALLEGANY CT,COUNTY
567244,WASHINGTON,LYLES DR,COUNTY
567313,WASHINGTON,COLE RD,COUNTY
567363,WASHINGTON,OLD SECT OF PECTONVILLE RD,COUNTY
567529,WASHINGTON,KAYS CT,COUNTY
567668,WASHINGTON,DORCHESTER CT,COUNTY
567771,WASHINGTON,MARSH CIR,COUNTY
567871,WASHINGTON,MT WILLIAMS CIR,COUNTY
567880,WASHINGTON,WESTENBERGER DR,COUNTY
567919,WASHINGTON,TREE TOP DR,COUNTY
567946,WASHINGTON,SPRING VALLEY CIR,COUNTY
568018,WASHINGTON,PAR THREE DR,COUNTY
568060,WASHINGTON,NESBIT AVE,COUNTY
568070,WASHINGTON,PARK HALL RD,COUNTY
568165,WASHINGTON,RP 1 FR UNDERPASS WAY NB TO CO 666 WB,COUNTY
568206,WASHINGTON,GILARDI RD,COUNTY
568258,WASHINGTON,TILGHMANTON RD,COUNTY
568356,WASHINGTON,EARLEY DR,COUNTY
568480,WASHINGTON,RUSH RUN RD,COUNTY
568580,WASHINGTON,ARCHER LA,COUNTY
568667,WASHINGTON,BAIN RD,COUNTY
568792,WASHINGTON,DIXIE CIR,COUNTY
569019,WASHINGTON,SAMPLES MANOR DR,COUNTY
569064,WASHINGTON,CROFTON RD,COUNTY
569179,WASHINGTON,KINGSWOOD TERR,COUNTY
569322,WASHINGTON,AYRSHIRE CT,COUNTY
569363,WASHINGTON,SALEM CHURCH RD,COUNTY
569518,WASHINGTON,FOXLEIGH CT,COUNTY
569519,WASHINGTON,SPICKLER RD,COUNTY
569595,WASHINGTON,BOTTOM RD,COUNTY
569628,WASHINGTON,PARTRIDGE TRAIL,COUNTY
569690,WASHINGTON,JARKEY DR,COUNTY
569698,WASHINGTON,FIREBUSH DR,COUNTY
569716,WASHINGTON,KENT AVE,COUNTY
569723,WASHINGTON,APPLETOWN RD,COUNTY
569782,WASHINGTON,TIMOTHY DR,COUNTY
569803,WASHINGTON,JASMINE CT,COUNTY
569821,WASHINGTON,BECKLEY RD,COUNTY
569837,WASHINGTON,MASSEY BLVD (NB/L),COUNTY
569845,WASHINGTON,KELLER AVE,COUNTY
569875,WASHINGTON,PLANTERS LA,COUNTY
569894,WASHINGTON,PINEWOOD CIR,COUNTY
569961,WASHINGTON,GRUBER RD,COUNTY
570033,WASHINGTON,CASCADE RD,COUNTY
570036,WASHINGTON,STURGIS DR,COUNTY
570083,WASHINGTON,SPUR RD,COUNTY
570180,WASHINGTON,AMESBURY RD,COUNTY
570216,WASHINGTON,OLD DENEEN RD,COUNTY
570283,WASHINGTON,EMERALD DR,COUNTY
570343,WASHINGTON,MARBERN RD,COUNTY
570416,WASHINGTON,GARROW DR,COUNTY
570465,WASHINGTON,LINBAR DR,COUNTY
570601,WASHINGTON,GUARD CT,COUNTY
570652,WASHINGTON,BROOKFIELD AVE,COUNTY
570673,WASHINGTON,BRITNER AVE,COUNTY
