OBJECTID,Name,Description,Surface,Status,Additional_Info_Public,Additional_Info_MDOT,Source,Length,Hyperlinks,GlobalID,SHAPE__Length,CreationDate,Creator,EditDate,Editor,User_Comments,County,Region,User_Comments_MDOT,User_Comment_MDOT,Destination_Trail,Tracked_Project,Next_Steps_and_Agency
2989,Catonsville Short Line Trail Extensions,,Paved,Planned,,PER BOBBY: Baltimore City owned leased to Charlestown Senior Living.  CRTT has a license from the City for the trail.Maryland Health and Higher Educational Facilities Authorities leased to Charlestown Senior Living.  CRTT is currently operating under an MOU with Charlestown while working on an easement agreement.,Catonsville Rails to Trails - Bobby Krasnansky,1.2234992541492953,,7986c786-2dc2-4f0b-a7aa-df7dfa73f535,2540.6760801583914,,,,,,Baltimore City,Central,,,No,No,
2990,Reimagine Middle Branch,,Paved,Existing,,Sent from Baltimore City DOP - Nick Chupein 10/30/2024,Baltimore City - Nick Chupein,0.23103891079524846,,54171c38-b782-4bb8-9533-30d1033fcdaf,480.73050969388873,,,,,,Baltimore City,Central,,,No,No,
2991,Reimagine Middle Branch,,Wood,Existing,,,Baltimore City - sent by Nick Chupein 10/30/2024,0.10018217367503722,,86a061c9-5def-4d9b-80e8-d3ef70fddb57,208.3767734914688,,,,,,Baltimore City,Central,,,No,No,
2992,Future Rail Spur Neighborhood Trail,"Local bikeway planning effort for alternative routes through neighborhood areas south of MD 7/Revolution Street
Local bikeway planning effort for alternative routes through neighborhood areas south of MD 7/Revolution Street
","Stone, TBD",Planned,"Planned - Concept Only Currently: Currently exploring alternative neighborhood routes for bikeway infrastructure utilizing Kim Lamphier Bikeways Network Program funding FY24, feasibility and design.",,City of Havre de Grace,0.6955687780142171,,86b41536-3c7a-4362-8051-261b38b0c3bf,1452.2344180437724,,,,,,Harford,Central,,,No,No,
2993,Pulaski Highway Sidepath,Concept plan for a shared-use pathway along US 40 between Aberdeen and Havre de Grace,Planned; asphalt,Planned,"Planned Concept Only: BMC Project No. 22T02 with Consultant AECOM, Final recommended plan report dated April 2023.",,City of Havre de Grace,4.770727481413892,,3ecd0a61-439c-4c46-8046-3aa7e84ebc56,9959.563107355474,,,,,,Harford,Central,,,No,No,
2994,Touch of Nature Trail,"Rocky Gap Trail Map, Georefenced with 2008 Ortho,Maryland State DNR",Paved,Existing,Rocky Gap State Park,,"Allegany County submitted for the MD Trails Plan, The Cumberland Metropolitan Planning Organization's Bicycle and Pedestrian Interim Report",0.36481999544074717,http://www.dnr.maryland.gov/publiclands/maps/rockygapmap.html,f02362e0-d97f-4b37-83c6-54890b5e8a64,764.2628693774467,,,,,,Allegany,Western,,,No,No,
2995,Francke Avenue Sidepath,,Paved,Existing,,,Baltimore County,0.45950015500757674,,768fb055-e5f9-4ffe-9155-cd4a6b2750ca,959.418457160451,,,,,,Baltimore,Central,,,No,No,
2996,Kurtz Avenue Sidepath,,Paved,Existing,,,Baltimore County,0.3011064083415351,,17e20542-6e6a-4d02-80e1-23cbdee6a3b7,628.7461832979203,,,,,,Baltimore,Central,USER COMMENTS: Part of the current and signed ECG,MDOT: ECG Submitted by ECG,No,No,
2997,Cophenhaver Park Path,,Crushed Gravel,Existing,Pedestrian Path - Managed by DNR,,Harford County,0.37087178449886254,,7cc22a67-23e4-44d8-a3d3-08648f04ce21,773.6786695298811,,,,,,Harford,Central,,,No,No,
2998,Three Notch Trail Phase VII,Construction of the Three Notch Trail between Friendship School Road and Hollywood Volunteer Rescue Squad.  Along FDR Blvd - 10' side path to replace 5' sidewalk on the western side.,Paved,Planned,,,"St. Mary's County submission for MD Trails Plan per PDF, MD Bikeways, Tri-County Council for Southern Maryland",4.633735049396726,,f89e6621-2c1c-4e4b-8c01-b44bec92a4ac,9516.492509114447,,,,,,St. Marys,Southern,,,No,No,
2999,Frederick Pennsylvania Rail Trail,East Street Project,Paved,Existing,https://www.cityoffrederickmd.gov/DocumentCenter/View/19166/East-Street-Full-Project-with-Phases?bidId=,From Thomas M. via https://www.cityoffrederickmd.gov/DocumentCenter/View/19166/East-Street-Full-Project-with-Phases?bidId=,City of Frederick: https://www.cityoffrederickmd.gov/DocumentCenter/View/19166/East-Street-Full-Project-with-Phases?bidId=,0.5689272026436516,https://www.cityoffrederickmd.gov/DocumentCenter/View/19166/East-Street-Full-Project-with-Phases?bidId=,f6319746-1c11-46c2-9936-a9b7b761da6a,1188.5965190139118,,,,,,Frederick,Capital,,,No,No,
3000,Frederick and Pennsylvania Line RR Trail,,Paved,Planned,https://www.cityoffrederickmd.gov/DocumentCenter/View/19166/East-Street-Full-Project-with-Phases?bidId=,From Thomas M. via https://www.cityoffrederickmd.gov/DocumentCenter/View/19166/East-Street-Full-Project-with-Phases?bidId=. COMMENT: Trail name should be the Frederick and Pennsylvania Line RR Trail and  should start at Monocay Blvd and go north.  It does not have an alternate name of East Street Project. also source of info should be frederick county. MDOT ADDRESSED COMMENT; FREDERICK CITY DOCUME,City of Frederick: https://www.cityoffrederickmd.gov/DocumentCenter/View/19166/East-Street-Full-Project-with-Phases?bidId=,7.189748013415358,https://www.cityoffrederickmd.gov/DocumentCenter/View/19166/East-Street-Full-Project-with-Phases?bidId=,d9444f85-1af1-45eb-b03c-288e6d14955f,15007.523578115934,,,,,,Frederick,Capital,,,No,Yes,
