st_area(shape),st_perimeter(shape),objectid,geoid10,name10,namelsad10,pop10
1550634669.895651,398393.9368591796,1,15003,Honolulu,Honolulu County,953207
10461222982.869616,641599.1342262723,2,15001,Hawaii,Hawaii County,185079
1622379151.6595054,296109.12263701676,3,15007,Kauai,Kauai County,67091
30974397.20786484,51042.20064174378,4,15005,Kalawao,Kalawao County,90
3013477049.3112025,679677.234089376,5,15009,Maui,Maui County,154834
