OBJECTID,BUS_TYPE,BUS_NAME,BUS_ADDRESS,ST_NAME,NBRHD,SUBREGION,MATCH_ADDR,BUS_URL,LON,LAT,GLOBALID
27,Food,Prato Bakery,150 Bay St,Bay,Jersey City,Hudson,"150 Bay Street, Jersey City, NJ, 07302",https://www.pratobakery.com/,-74.04020116,40.72085566,91205777-abc1-4401-8ec7-f26d7c190aa8
28,Food,Porta,135 Newark Ave,Newark,Jersey City,Hudson,"135 Newark Avenue, Jersey City, NJ, 07302",https://pizzaporta.com/jersey-city,-74.04369089,40.72024361,9cd67907-2ebe-4957-948e-c872cef023f9
29,Food,Short Grain,183 Montgomery St,Montgomery,Jersey City,Hudson,"183 Montgomery Street, Jersey City, NJ, 07302",http://shortgrainjc.com/,-74.04294858,40.71727647,bc1d6f47-ae90-46e9-9a11-a3d390aa48bd
30,Café,modcup coffee co. (mod01 - the arts café),479 Palisade Ave,Palisade,Jersey City,Hudson,"479 Palisade Avenue, Jersey City, NJ, 07307",https://modcup.com/,-74.043945,40.745042999999995,1c0d147b-f38b-43fe-891e-7378be0692d4
31,Food,Prato Bakery,371 4th Street,4th,Jersey City,Hudson,"371 4th Street, Jersey City, NJ, 07302",https://www.pratobakery.com/,-74.051181,40.724396999999996,9940d25a-2ecd-426e-85e1-409117bb69bf
32,Shopping,Sloane Square,150 Bay St,Bay,Jersey City,Hudson,"150 Bay Street, Jersey City, NJ, 07302",https://www.sloanesq.net/,-74.04037314,40.72093865,20d720a4-4db9-4f35-a520-3c4be78cc3c9
33,Food,Skinner's Loft and Cove,146 Newark Ave,Newark,Jersey City,Hudson,"146 Newark Avenue, Jersey City, NJ, 07302",https://www.skinnersloft.com/,-74.043765,40.720635,669ebef8-9901-47f1-99c4-a6867a84f7aa
34,Food,Whealth Kitchen,615 Pavonia Ave,Pavonia,Jersey City,Hudson,"615 Pavonia Avenue, Jersey City, NJ, 07306",https://www.whealthkitchen.com/,-74.06120155,40.73274964,a7336ba6-ed5c-4cf0-8f39-fdd831ef0958
35,Shopping,WORD,19 McWilliams Place,McWilliams,Jersey City,Hudson,"McWilliams Place, Jersey City, NJ, 07302",https://www.wordbookstores.com/,-74.04399099,40.72771612,8527d594-7022-4948-a00b-a69d543c4c12
36,Food,Tidal Poke Co,210 Hudson Street,Hudson,Jersey City,Hudson,"210 Hudson Street, Hoboken, NJ, 07311",http://www.tidalpokeco.com/,-74.03330401,40.71916446,87bee340-f726-47fd-a698-10f464556769
37,Shopping,Noah's Ark Florist,200 Hudson St,Hudson,Jersey City,Hudson,"200 Hudson Street, Jersey City, NJ, 07311",https://www.noahsarkflorist.com/,-74.03303499,40.71803078,cb915115-a32b-4c5a-8a2e-fe386591afb0
38,Café,modcup coffee co. (mod03 - the food hall coffee bar),210 Hudson Street,Hudson,Jersey City,Hudson,"210 Hudson Street, Jersey City, NJ, 07311",https://modcup.com/,-74.03631772,40.72393379,c3ccd436-29d1-4d76-82dd-168f378bf205
39,Attraction,Arts Council of Princeton,102 Witherspoon Street,Witherspoon,Princeton,Mercer,"102 Witherspoon Street, Princeton, NJ, 08542",http://artscouncilofprinceton.org/,-74.66113578,40.35215035,d950abe7-e9c2-40a3-9b8e-c76a863ebf33
40,Attraction,4 Elements Wellness Center,301 North Harrison Street,Harrison,Princeton,Mercer,"301 North Harrison Street, Princeton, NJ, 08540",https://www.4elementswellnesscenter.com/,-74.6512655,40.36293078,d69a8d29-8b88-42f3-b2ad-f1a7a25c13c9
41,Food,Arlee's Raw Blends,14 1/2 Witherspoon St,Witherspoon,Princeton,Mercer,"14 1/2 Witherspoon Street, Princeton, NJ, 08542",https://www.arleesrawblends.com/,-74.6600885,40.3504364,6f1b8e6b-bbd5-4be8-9dcf-179feceb8878
42,Food,Blue Point Grill,258 Nassau Street,Nassau,Princeton,Mercer,"258 Nassau Street, Princeton, NJ, 08542",https://www.bluepointgrill.com/,-74.651121,40.352391,4ddb99d9-d994-484f-b6b5-7beb6b4c4964
43,Attraction,Copper River Salon and Spa,51 North Tulane Street,Tulane,Princeton,Mercer,"51 North Tulane Street, Princeton, NJ, 08542",https://www.copperriversalon.com/,-74.65884299999999,40.351842,dd7bad75-4073-4609-9219-ef2b3af31793
44,Shopping,Homestead Princeton,300 Witherspoon Street,Witherspoon,Princeton,Mercer,"300 Witherspoon Street, Princeton, NJ, 08542",https://homesteadprinceton.com/,-74.66382,40.35771,ae057176-2133-4908-be9f-9856dc8e31eb
45,Food,House of Cupcakes,34 Witherspoon Street,Witherspoon,Princeton,Mercer,"34 Witherspoon Street, Princeton, NJ, 08542",https://houseofcupcakes.com/,-74.6603955,40.350806999999996,378eddff-f3a6-450e-91b8-fdf6347af294
