OBJECTID,NAME,STATE,LAT,LONG_,MRC,CGI_10mDEM,Shape_Leng,Title,UTM,Shape.STArea(),Shape.STLength()
590,Hetherton,MI,45.000,-84.250,45084-A3,no,47461.9067721,"Hetherton, MI",16N,136697955.53539023,47461.90666842685
591,Hiawatha,MI,46.000,-86.250,46086-A3,yes,47113.3466134,"Hiawatha, MI",16N,134276253.63224688,47113.34665591456
592,Hickman Lake,MI,46.250,-88.125,46088-C2,no,47034.2158255,"Hickman Lake, MI",16N,133715196.81075318,47034.21590376399
593,High Island,MI,45.625,-85.625,45085-F6,no,47242.8237461,"High Island, MI",16N,135178189.20827207,47242.82377114304
594,Highland,MI,42.625,-83.500,42083-F5,no,48243.7507549,"Highland, MI",17N,142152869.95480964,48243.750686998304
595,Highland Park,MI,42.375,-83.000,42083-D1,no,48327.4115077,"Highland Park, MI",17N,142732670.46530277,48327.41138090671
596,Hillman,MI,45.000,-83.875,45083-A8,no,47465.9582288,"Hillman, MI",17N,136721294.68492353,47465.95819387465
597,Hillman NE,MI,45.125,-83.750,45083-B7,no,47426.0571017,"Hillman NE, MI",17N,136440050.81772947,47426.05707499363
598,Hillsdale,MI,41.875,-84.625,41084-H6,no,48482.7397709,"Hillsdale, MI",16N,143820007.57901123,48482.73974530964
599,Hiram Point,MI,45.750,-86.375,45086-G4,yes,47199.2121265,"Hiram Point, MI",16N,134875080.33217585,47199.21215769845
600,Hiram Point OE S,MI,45.625,-86.375,45086-F4,no,47242.0853207,"Hiram Point OE S, MI",16N,135173962.951807,47242.0852532033
601,Hog Island East,MI,45.750,-85.250,45085-G3,no,47202.0826507,"Hog Island East, MI",16N,134891485.01601654,47202.08268490093
602,Hog Island Point,MI,46.000,-85.250,46085-A3,no,47117.1368037,"Hog Island Point, MI",16N,134297859.94749585,47117.1367896376
603,Hog Island West,MI,45.750,-85.375,45085-G4,no,47201.3890239,"Hog Island West, MI",16N,134887519.83970153,47201.38909554737
604,Holland East,MI,42.750,-86.000,42086-G1,no,48207.5318089,"Holland East, MI",16N,141895857.2765496,48207.53178484874
605,Holland West,MI,42.750,-86.125,42086-G2,no,48208.8352105,"Holland West, MI",16N,141903530.74044493,48208.83508917067
606,Holton,MI,43.375,-86.000,43086-D1,no,48000.3933128,"Holton, MI",16N,140455711.2488438,48000.3934427759
607,Hope,MI,43.750,-84.250,43084-G3,no,47874.7958585,"Hope, MI",16N,139582617.17578295,47874.79591422986
608,Houghton Lake,MI,44.250,-84.750,44084-C7,no,47707.6769803,"Houghton Lake, MI",16N,138418908.69245237,47707.67685500379
609,Howard City,MI,43.375,-85.375,43085-D4,no,47996.9904342,"Howard City, MI",16N,140435795.74330923,47996.990228314775
610,Howe Lake,MI,46.875,-87.875,46087-H8,no,46812.2880325,"Howe Lake, MI",16N,132173173.02109264,46812.287895009256
611,Howell,MI,42.500,-83.875,42083-E8,no,48281.9243492,"Howell, MI",17N,142421245.0218239,48281.92437051932
612,Hoytville,MI,42.625,-84.875,42084-F8,no,48241.2215542,"Hoytville, MI",16N,142137965.86127007,48241.22161512424
613,Hubbard Lake,MI,44.750,-83.500,44083-G5,yes,47553.4033159,"Hubbard Lake, MI",17N,137327449.15532175,47553.40329909461
614,Hubbard Lake SW,MI,44.750,-83.625,44083-G6,yes,47551.7552993,"Hubbard Lake SW, MI",17N,137317930.42597193,47551.7552629492
615,Hubbardston,MI,43.000,-84.750,43084-A7,no,48118.8366003,"Hubbardston, MI",16N,141285827.07799837,48118.836519240846
616,Hudson,MI,41.750,-84.250,41084-G3,no,48521.6462337,"Hudson, MI",16N,144091965.7802157,48521.646319372965
617,Hudsonville East,MI,42.750,-85.750,42085-G7,no,48205.2401217,"Hudsonville East, MI",16N,141882365.74003178,48205.240143793046
618,Hudsonville West,MI,42.750,-85.875,42085-G8,no,48206.3330268,"Hudsonville West, MI",16N,141888798.24759972,48206.33294065928
619,Hughes Point,MI,45.875,-85.750,45085-H7,no,47157.2171683,"Hughes Point, MI",16N,134581085.73063767,47157.21714546685
620,Hulbert,MI,46.250,-85.125,46085-C2,no,47032.9390503,"Hulbert, MI",16N,133707936.50302164,47032.93910231462
621,Huron City,MI,44.000,-82.750,44082-A7,no,47809.5825255,"Huron City, MI",17N,139107737.8515116,47809.5825848899
622,Huron Mountain,MI,46.875,-87.750,46087-H7,no,46811.6794659,"Huron Mountain, MI",16N,132169737.4054516,46811.679289937514
623,Ida,MI,41.875,-83.500,41083-H5,no,48482.6756308,"Ida, MI",17N,143819626.8519689,48482.67566487023
624,Imlay City,MI,43.000,-83.000,43083-A1,no,48128.1618447,"Imlay City, MI",17N,141340593.3419161,48128.16186017192
625,Indian River,MI,45.375,-84.500,45084-D5,no,47334.2555614,"Indian River, MI",16N,135808212.82184345,47334.25545759417
626,Indian Town,MI,46.375,-86.500,46086-D5,yes,46983.8317128,"Indian Town, MI",16N,133372963.89339592,46983.83171200229
627,Indianville,MI,45.500,-84.625,45084-E6,no,47291.1479441,"Indianville, MI",16N,135508188.36446702,47291.14802185877
628,Inkster,MI,42.250,-83.250,42083-C3,no,48365.0648872,"Inkster, MI",17N,142997732.33202288,48365.064970255946
629,Ionia,MI,42.875,-85.000,42085-H1,no,48160.0772002,"Ionia, MI",16N,141572607.38509077,48160.07718525937
630,Ironton,MI,45.250,-85.125,45085-C2,yes,47371.805376,"Ironton, MI",16N,136076189.07802793,47371.80534566552
631,Ishpeming,MI,46.375,-87.625,46087-D6,no,46986.664915,"Ishpeming, MI",16N,133389049.60769872,46986.66500863115
632,Island Lake,MI,44.500,-84.125,44084-E2,yes,47628.895817,"Island Lake, MI",16N,137864000.06248552,47628.8958525605
633,Ithaca,MI,43.250,-84.500,43084-C5,no,48037.4067386,"Ithaca, MI",16N,140718095.5519812,48037.40667500119
634,Ives Hill,MI,46.750,-87.750,46087-G7,no,46855.6963924,"Ives Hill, MI",16N,132476286.5361668,46855.69629642716
635,Jacks Landing,MI,44.625,-85.375,44085-F4,yes,47581.0603423,"Jacks Landing, MI",16N,137537479.2876093,47581.060309725006
636,Jackson North,MI,42.250,-84.375,42084-C4,no,48361.5913629,"Jackson North, MI",16N,142977192.99129343,48361.59148850162
637,Jackson South,MI,42.125,-84.375,42084-B4,no,48401.7780658,"Jackson South, MI",16N,143257079.13316023,48401.77811589244
638,Jasper,MI,41.750,-84.000,41084-G1,no,48521.401842,"Jasper, MI",16N,144090513.31772077,48521.40191124147
639,Jeddo,MI,43.125,-82.500,43082-B5,no,48094.8412562,"Jeddo, MI",17N,141100108.2116004,48094.8412888124
640,Jeddo OE E,MI,43.125,-82.375,43082-B4,no,48096.7969249,"Jeddo OE E, MI",17N,141111582.45899788,48096.7969282501
641,Jennings,MI,44.250,-85.250,44085-C3,no,47706.5338863,"Jennings, MI",16N,138412275.765556,47706.53396820514
642,Jewett Creek,MI,45.000,-83.750,45083-A7,no,47467.5065261,"Jewett Creek, MI",17N,136730214.43315175,47467.50662965561
643,Johannesburg,MI,44.875,-84.375,44084-H4,no,47502.3907484,"Johannesburg, MI",16N,136982376.84036395,47502.390809572425
644,Jones,MI,41.875,-85.750,41085-H7,no,48491.7187416,"Jones, MI",16N,143873282.97554457,48491.718744931386
645,Juhl,MI,43.250,-82.875,43082-C8,no,48049.5469176,"Juhl, MI",17N,140789229.81684405,48049.546934413
646,Juniata,MI,43.250,-83.375,43083-C4,no,48043.8971257,"Juniata, MI",17N,140756123.66638353,48043.8971772284
647,Juniper,MI,46.250,-86.500,46086-C5,yes,47027.0521357,"Juniper, MI",16N,133674467.54405616,47027.052250784276
648,K P Lake,MI,44.750,-84.500,44084-G5,no,47543.0088855,"K P Lake, MI",16N,137267419.00408757,47543.00878020947
649,Kalamazoo,MI,42.250,-85.500,42085-C5,no,48366.947369,"Kalamazoo, MI",16N,143008861.61248296,48366.94738643832
650,Kalamazoo NE,MI,42.375,-85.500,42085-D5,no,48326.1461929,"Kalamazoo NE, MI",16N,142725198.42667204,48326.146170781256
651,Kalamazoo SW,MI,42.250,-85.625,42085-C6,no,48368.0796332,"Kalamazoo SW, MI",16N,143015557.05342993,48368.07974305031
652,Kalkaska,MI,44.625,-85.125,44085-F2,yes,47581.5676607,"Kalkaska, MI",16N,137540414.84565932,47581.56765745812
653,Karlin,MI,44.500,-85.750,44085-E7,no,47623.0843136,"Karlin, MI",16N,137830356.6613825,47623.08433181407
654,Kawkawlin,MI,43.625,-83.875,43083-F8,no,47918.0597472,"Kawkawlin, MI",17N,139881921.48205775,47918.05973982615
655,Kelso Junction,MI,46.125,-88.250,46088-B3,no,47079.3816657,"Kelso Junction, MI",16N,134027699.64229706,47079.38172872864
656,Kenneth,MI,46.000,-84.875,46084-A8,no,47120.0925661,"Kenneth, MI",16N,134314708.146865,47120.092559996636
657,Kent Lake,MI,42.500,-83.625,42083-E6,no,48283.0267522,"Kent Lake, MI",17N,142427748.42344013,48283.0266963849
658,Kenton,MI,46.375,-88.875,46088-D8,no,46998.2151793,"Kenton, MI",16N,133454636.74046606,46998.215253916904
659,Keweenaw Bay NE,MI,46.875,-88.250,46088-H3,no,46814.6370667,"Keweenaw Bay NE, MI",16N,132186441.44200188,46814.63715872912
660,Kiernan,MI,46.125,-88.125,46088-B2,no,47078.1459198,"Kiernan, MI",16N,134020666.31904785,47078.146079517304
661,Kinde East,MI,43.875,-82.875,43082-H8,no,47848.1068585,"Kinde East, MI",17N,139379767.80880064,47848.10672854471
662,Kinde West,MI,43.875,-83.000,43083-H1,no,47846.2845325,"Kinde West, MI",17N,139369151.1638169,47846.28458763708
663,Kings Corners,MI,44.000,-86.250,44086-A3,no,47793.1773204,"Kings Corners, MI",16N,139012286.45230588,47793.17725779209
664,Kingsley,MI,44.500,-85.500,44085-E5,no,47622.8870915,"Kingsley, MI",16N,137829216.74883723,47622.88719381976
