OBJECTID,NAME,STATE,LAT,LONG_,MRC,CGI_10mDEM,Shape_Leng,Title,UTM,Shape.STArea(),Shape.STLength()
749,Manton,MI,44.375,-85.375,44085-D4,no,47664.7482123,"Manton, MI",16N,138121024.71480703,47664.74813319334
750,Maple City,MI,44.750,-85.750,44085-G7,yes,47538.9292639,"Maple City, MI",16N,137243862.95925355,47538.92925817059
751,Maple Grove,MI,42.500,-85.125,42085-E2,no,48282.8987801,"Maple Grove, MI",16N,142426993.28899327,48282.898774880676
752,Maple Rapids,MI,43.000,-84.625,43084-A6,no,48118.8099259,"Maple Rapids, MI",16N,141285670.08417943,48118.809880530716
753,Mapleton,MI,44.875,-85.500,44085-H5,yes,47496.9037223,"Mapleton, MI",16N,136950730.62017193,47496.903687436075
754,Marble Head,MI,45.875,-83.500,45083-H5,no,47180.0231086,"Marble Head, MI",17N,134711284.59934828,47180.023146853346
755,Marble Head OE E,MI,45.875,-83.375,45083-H4,no,47182.1975708,"Marble Head OE E, MI",17N,134723705.55969244,47182.19758424908
756,Marcellus,MI,42.000,-85.750,42085-A7,no,48450.9816132,"Marcellus, MI",16N,143590293.4315282,48450.98165287485
757,Marenisco,MI,46.375,-89.625,46089-D6,no,47009.3141854,"Marenisco, MI",16N,133517676.66712956,47009.31413935265
758,Marilla,MI,44.250,-85.875,44085-C8,no,47707.3542986,"Marilla, MI",16N,138417035.7629013,47707.35415171081
759,Marine City,MI,42.625,-82.500,42082-F5,no,48253.8488066,"Marine City, MI",17N,142212384.53418133,48253.84872458357
760,Marine City OE E,MI,42.625,-82.375,42082-F4,no,48255.6074092,"Marine City OE E, MI",17N,142222752.51924366,48255.60750008871
761,Marion,MI,44.000,-85.125,44085-A2,no,47789.7544409,"Marion, MI",16N,138992378.25682205,47789.75452576584
762,Marlborough,MI,43.750,-85.750,43085-G7,no,47874.0685731,"Marlborough, MI",16N,139578376.8382622,47874.06867409775
763,Marlette,MI,43.250,-83.000,43083-C1,no,48047.9742513,"Marlette, MI",17N,140780015.85232657,48047.974337602696
764,Marne,MI,43.000,-85.750,43085-A7,no,48122.8197887,"Marne, MI",16N,141309218.78762054,48122.81975441029
765,Marquette,MI,46.500,-87.375,46087-E4,no,46941.731028,"Marquette, MI",16N,133077676.5136764,46941.730888303086
766,Marquette NW,MI,46.625,-87.375,46087-F4,no,46897.9985961,"Marquette NW, MI",16N,132773001.80010548,46897.99866958363
767,Marquette OE E,MI,46.500,-87.250,46087-E3,no,46941.2983898,"Marquette OE E, MI",16N,133075227.66963932,46941.298509621556
768,Marsh Creek Pool,MI,46.125,-86.000,46086-B1,yes,47070.8545431,"Marsh Creek Pool, MI",16N,133979155.2016361,47070.85459024693
769,Marsh Creek Pool NW,MI,46.125,-86.125,46086-B2,yes,47070.5570848,"Marsh Creek Pool NW, MI",16N,133977460.74677348,47070.556952253195
770,Marshall,MI,42.250,-84.875,42084-C8,no,48362.8899488,"Marshall, MI",16N,142984869.58836767,48362.88983889469
771,Marshall Creek,MI,46.375,-89.500,46089-D5,no,47007.2507221,"Marshall Creek, MI",16N,133505956.7003556,47007.250655738964
772,Marten Lake,MI,46.375,-88.625,46088-D6,no,46995.2052059,"Marten Lake, MI",16N,133437542.677626,46995.20506621388
773,Martin,MI,42.500,-85.625,42085-E6,no,48286.2937832,"Martin, MI",16N,142447023.49877325,48286.29369241692
774,Mason,MI,42.500,-84.375,42084-E4,no,48281.0190675,"Mason, MI",16N,142415902.9288621,48281.019038255225
775,Matchwood,MI,46.500,-89.375,46089-E4,no,46960.600728,"Matchwood, MI",16N,133184688.00946245,46960.600630018875
776,Matchwood NW,MI,46.625,-89.375,46089-F4,no,46915.8818691,"Matchwood NW, MI",16N,132874281.23281908,46915.88187208935
777,Maybee,MI,42.000,-83.500,42083-A5,no,48443.0265799,"Maybee, MI",17N,143543146.39967492,48443.026715424436
778,Mayfield,MI,44.625,-85.500,44085-F5,yes,47580.9556779,"Mayfield, MI",16N,137536875.1202883,47580.95562800739
779,Mayville,MI,43.250,-83.250,43083-C3,no,48045.1486472,"Mayville, MI",17N,140763457.70436352,48045.14874764609
780,Maywood,MI,45.750,-86.875,45086-G8,no,47200.3521226,"Maywood, MI",16N,134881595.76388177,47200.35208605802
781,McBain,MI,44.125,-85.125,44085-B2,no,47748.2436764,"McBain, MI",16N,138702966.652947,47748.24359531616
782,McCargoe Cove,MI,48.125,-88.625,48088-B6,no,46370.5607175,"McCargoe Cove, MI",16N,129091688.51021552,46370.56080304032
783,McCollum Lake,MI,44.750,-83.875,44083-G8,yes,47548.7564358,"McCollum Lake, MI",17N,137300610.61593312,47548.7563387867
784,McComb Corner,MI,46.750,-88.000,46088-G1,no,46857.1215933,"McComb Corner, MI",16N,132484346.03221828,46857.12156551817
785,McDonald,MI,42.250,-86.125,42086-C2,no,48373.6849301,"McDonald, MI",16N,143048707.6504121,48373.684925683745
786,McFarland,MI,46.125,-87.125,46087-B2,no,47071.4659966,"McFarland, MI",16N,133982632.65074524,47071.465846817395
787,McGinn Creek,MI,44.750,-83.750,44083-G7,yes,47550.2055612,"McGinn Creek, MI",17N,137308978.7050682,47550.20539615655
788,McGulpin Point,MI,45.750,-84.750,45084-G7,no,47205.8008795,"McGulpin Point, MI",16N,134912738.81176704,47205.800969671196
789,McKeever,MI,46.625,-89.000,46089-F1,no,46910.8481716,"McKeever, MI",16N,132845767.57641068,46910.84811048186
790,McKinley,MI,44.625,-83.875,44083-F8,yes,47590.0567829,"McKinley, MI",17N,137589495.0540753,47590.05680176836
791,McMillan,MI,46.250,-85.625,46085-C6,no,47029.5124163,"McMillan, MI",16N,133688454.20676795,47029.51242445424
792,McNearney Lake,MI,46.375,-84.875,46084-D8,no,46992.6670239,"McNearney Lake, MI",16N,133423130.03024565,46992.666998174536
793,McRae Bay,MI,45.750,-84.375,45084-G4,no,47209.5869457,"McRae Bay, MI",16N,134934378.98074225,47209.586769970934
794,McRae Bay OE E,MI,45.750,-84.250,45084-G3,no,47211.0410844,"McRae Bay OE E, MI",16N,134942695.61837524,47211.04102281766
795,Meade Island,MI,45.875,-83.625,45083-H6,no,47177.9473575,"Meade Island, MI",17N,134699433.57194847,47177.94739172013
796,Meads Landing,MI,44.375,-84.750,44084-D7,no,47666.2033879,"Meads Landing, MI",16N,138129460.72270328,47666.20348451464
797,Mears,MI,43.625,-86.375,43086-F4,no,47920.0012552,"Mears, MI",16N,139893256.6079688,47920.001260628596
798,Mecosta,MI,43.500,-85.125,43085-E2,no,47955.1602502,"Mecosta, MI",16N,140145108.41629887,47955.16035490648
799,Mecosta NW,MI,43.625,-85.125,43085-F2,no,47913.9062346,"Mecosta NW, MI",16N,139857671.37632313,47913.90627156045
800,Melstrand,MI,46.375,-86.375,46086-D4,yes,46983.9646055,"Melstrand, MI",16N,133373719.37106572,46983.964540813686
801,Memphis,MI,42.875,-82.750,42082-H7,no,48171.1027165,"Memphis, MI",17N,141637436.0762576,48171.10265637072
802,Mendon,MI,42.000,-85.375,42085-A4,no,48447.1985779,"Mendon, MI",16N,143567870.43769053,48447.19859664019
803,Meredith,MI,44.125,-84.500,44084-B5,no,47750.1481034,"Meredith, MI",16N,138714028.4080851,47750.14818922637
804,Meredith NW,MI,44.125,-84.625,44084-B6,no,47749.5671509,"Meredith NW, MI",16N,138710655.05717388,47749.567141684085
805,Meredith SW,MI,44.000,-84.625,44084-A6,no,47790.8529698,"Meredith SW, MI",16N,138998768.4959995,47790.85298697578
806,Merrill,MI,43.375,-84.250,43084-D3,no,47997.3804099,"Merrill, MI",16N,140438078.16447288,47997.38039679847
807,Merrill Lake,MI,43.750,-85.125,43085-G2,no,47872.5838967,"Merrill Lake, MI",16N,139569720.0298257,47872.58387901514
808,Merritt,MI,44.250,-84.875,44084-C8,no,47707.2394122,"Merritt, MI",16N,138416368.924959,47707.239446257954
809,Merriweather,MI,46.500,-89.625,46089-E6,no,46964.5143915,"Merriweather, MI",16N,133206886.37366173,46964.51455930731
810,Merson,MI,42.375,-85.750,42085-D7,no,48328.394502,"Merson, MI",16N,142738478.05557483,48328.39458564914
811,Merwin Lake,MI,46.000,-86.000,46086-A1,yes,47113.7380198,"Merwin Lake, MI",16N,134278484.5238465,47113.73791086706
812,Mesick,MI,44.375,-85.625,44085-D6,no,47664.8621151,"Mesick, MI",16N,138121686.22914672,47664.862094522075
813,Mesick NE,MI,44.375,-85.500,44085-D5,no,47664.7560662,"Mesick NE, MI",16N,138121072.35782963,47664.75608203357
814,Metamora,MI,42.875,-83.250,42083-H3,no,48165.6393713,"Metamora, MI",17N,141605309.6934377,48165.63931946443
815,Metz,MI,45.250,-83.750,45083-C7,no,47384.5394371,"Metz, MI",17N,136149356.3479773,47384.539390393205
816,Michigamme,MI,46.500,-88.000,46088-E1,no,46945.2300005,"Michigamme, MI",16N,133097518.26235376,46945.2300265449
817,Michigan Center,MI,42.125,-84.250,42084-B3,no,48401.6668389,"Michigan Center, MI",16N,143256417.82535756,48401.66665317976
818,Michillinda,MI,43.250,-86.375,43086-C4,no,48045.4006393,"Michillinda, MI",16N,140764930.20106453,48045.400519861476
819,Middle Island,MI,45.125,-83.250,45083-B3,no,47433.4337046,"Middle Island, MI",17N,136482496.23497367,47433.43369147312
820,Middleville,MI,42.625,-85.375,42085-F4,no,48243.5188806,"Middleville, MI",16N,142151503.34047595,48243.518874817586
821,Midland North,MI,43.625,-84.125,43084-F2,no,47916.3994317,"Midland North, MI",16N,139872227.43213665,47916.39948144214
822,Midland South,MI,43.500,-84.125,43084-E2,no,47957.2071634,"Midland South, MI",16N,140157072.14179805,47957.207185733285
823,Mikado,MI,44.500,-83.375,44083-E4,yes,47637.2938885,"Mikado, MI",17N,137912620.14931113,47637.29388332508
824,Milakokia Lake,MI,46.000,-85.750,46085-A7,no,47114.5012348,"Milakokia Lake, MI",16N,134282836.58909854,47114.5013758768
825,Milan,MI,42.000,-83.625,42083-A6,no,48442.5329175,"Milan, MI",17N,143540220.36247513,48442.53283214345
826,Milford,MI,42.500,-83.500,42083-E5,no,48283.7439089,"Milford, MI",17N,142431980.1479086,48283.74393374697
827,Millecoquins,MI,46.125,-85.500,46085-B5,no,47072.962769,"Millecoquins, MI",16N,133991156.2835324,47072.96269131687
828,Millersburg,MI,45.250,-84.000,45084-C1,no,47381.3463192,"Millersburg, MI",16N,136131007.09602255,47381.346395156455
829,Millgrove,MI,42.500,-85.875,42085-E8,no,48288.6257743,"Millgrove, MI",16N,142460780.89501017,48288.625796661094
830,Millville,MI,42.500,-84.125,42084-E2,no,48281.2538393,"Millville, MI",16N,142417289.7786523,48281.253858252254
831,Minden City,MI,43.625,-82.750,43082-F7,no,47930.7201968,"Minden City, MI",17N,139955848.45586628,47930.72032357189
832,Mio,MI,44.625,-84.125,44084-F2,yes,47587.559656,"Mio, MI",16N,137575057.7716612,47587.559677013305
833,Moddersville,MI,44.125,-84.875,44084-B8,no,47748.7016809,"Moddersville, MI",16N,138705625.75137177,47748.70172996471
834,Mohawk,MI,47.250,-88.250,47088-C3,no,46681.5536933,"Mohawk, MI",16N,131260147.2835571,46681.553691953915
835,Moltke,MI,45.375,-83.875,45083-D8,no,47341.2630703,"Moltke, MI",17N,135848424.10500813,47341.26289576917
836,Monroe,MI,41.875,-83.375,41083-H4,yes,48483.2240225,"Monroe, MI",17N,143822881.49838707,48483.22398683253
837,Montague,MI,43.375,-86.250,43086-D3,no,48002.4718945,"Montague, MI",16N,140467877.6553329,48002.471995332344
838,Montrose,MI,43.125,-83.875,43083-B8,no,48080.4513012,"Montrose, MI",17N,141015688.26774305,48080.45129273975
839,Moran,MI,45.875,-84.750,45084-H7,no,47163.5652816,"Moran, MI",16N,134617318.728419,47163.56525174002
840,Morey,MI,44.375,-85.125,44085-D2,no,47665.0318423,"Morey, MI",16N,138122667.7919501,47665.03165493986
841,Mosherville,MI,42.000,-84.625,42084-A6,no,48442.5652734,"Mosherville, MI",16N,143540410.6646941,48442.56531636828
842,Mott Island,MI,48.000,-88.500,48088-A5,no,46414.9185691,"Mott Island, MI",16N,129401481.56082672,46414.91862126728
843,Mount Clemens East,MI,42.500,-82.750,42082-E7,no,48290.3404661,"Mount Clemens East, MI",17N,142470899.05163908,48290.34054618633
844,Mount Clemens West,MI,42.500,-82.875,42082-E8,no,48288.967249,"Mount Clemens West, MI",17N,142462798.71764445,48288.967174026904
845,Mount Curwood,MI,46.625,-88.125,46088-F2,no,46902.107503,"Mount Curwood, MI",16N,132796268.89928812,46902.107650626145
846,Mount Forest,MI,43.875,-84.000,43084-H1,no,47835.4716361,"Mount Forest, MI",16N,139306167.22700956,47835.47164114621
847,Mount Pleasant,MI,43.500,-84.750,43084-E7,no,47955.149063,"Mount Pleasant, MI",16N,140145043.28651613,47955.149178271415
848,Mountain Lake,MI,46.750,-87.875,46087-G8,no,46856.3661035,"Mountain Lake, MI",16N,132480073.73325057,46856.36608048512
849,Muggun Creek,MI,47.250,-88.500,47088-C5,no,46683.1896215,"Muggun Creek, MI",16N,131269348.80266859,46683.18964185522
850,Mullett Lake,MI,45.500,-84.500,45084-E5,no,47292.3111511,"Mullett Lake, MI",16N,135514854.89244655,47292.31105267169
851,Munising,MI,46.375,-86.625,46086-D6,yes,46983.7880987,"Munising, MI",16N,133372713.24216858,46983.7879667369
852,Munuscong,MI,46.125,-84.125,46084-B2,no,47086.4284559,"Munuscong, MI",16N,134067825.82623598,47086.428371506365
853,Munuscong NE,MI,46.125,-84.000,46084-B1,no,47088.2174074,"Munuscong NE, MI",16N,134078012.88379684,47088.21736490827
854,Muskallonge Lake East,MI,46.625,-85.500,46085-F5,no,46901.6741477,"Muskallonge Lake East, MI",16N,132793813.87525752,46901.674096323215
855,Muskallonge Lake SE,MI,46.500,-85.500,46085-E5,no,46944.5866822,"Muskallonge Lake SE, MI",16N,133093868.70818116,46944.586548807594
856,Muskallonge Lake SW,MI,46.500,-85.625,46085-E6,no,46943.7652653,"Muskallonge Lake SW, MI",16N,133089212.66799746,46943.76539038056
857,Muskallonge Lake West,MI,46.625,-85.625,46085-F6,no,46900.8004843,"Muskallonge Lake West, MI",16N,132788869.0646197,46900.80058677063
858,Muskegon East,MI,43.125,-86.125,43086-B2,no,48084.548164,"Muskegon East, MI",16N,141039718.09426886,48084.548111991404
859,Muskegon West,MI,43.125,-86.250,43086-B3,no,48085.762885,"Muskegon West, MI",16N,141046846.40400332,48085.76306212903
860,Nadeau,MI,45.500,-87.500,45087-E5,no,47290.6010589,"Nadeau, MI",16N,135505054.61457324,47290.60096990183
861,Nahma,MI,45.750,-86.625,45086-G6,no,47199.597977,"Nahma, MI",16N,134877285.8552221,47199.59798284881
862,Nashville,MI,42.500,-85.000,42085-E1,no,48282.3172294,"Nashville, MI",16N,142423561.95955947,48282.317296711015
863,National City,MI,44.125,-83.625,44083-B6,no,47757.0860953,"National City, MI",17N,138754343.16908252,47757.08614468872
864,Naubinway,MI,46.000,-85.375,46085-A4,no,47116.3373132,"Naubinway, MI",16N,134293298.91996256,47116.33729624764
865,Nawakwa Lake,MI,46.500,-85.875,46085-E8,yes,46942.3950036,"Nawakwa Lake, MI",16N,133081443.86638165,46942.39511234566
866,Ned Lake,MI,46.375,-88.250,46088-D3,no,46991.3465621,"Ned Lake, MI",16N,133415632.44774596,46991.34659395921
867,Needmore,MI,42.625,-84.750,42084-F7,no,48240.9140401,"Needmore, MI",16N,142136155.21042994,48240.914043851684
868,Negaunee,MI,46.500,-87.500,46087-E5,no,46942.2549261,"Negaunee, MI",16N,133080649.62542476,46942.25486343643
869,Negaunee NW,MI,46.625,-87.625,46087-F6,no,46899.019882,"Negaunee NW, MI",16N,132778786.7379032,46899.01992711321
870,Negaunee SW,MI,46.500,-87.625,46087-E6,no,46942.8673503,"Negaunee SW, MI",16N,133084122.50486732,46942.86734510391
871,Nelson Lake,MI,46.375,-88.125,46088-D2,no,46990.2320054,"Nelson Lake, MI",16N,133409300.94792984,46990.23197470452
872,Ned Lake SE,MI,46.250,-88.250,46088-C3,no,47035.3887398,"Ned Lake SE, MI",16N,133721865.74204944,47035.38879259233
873,Nestoria,MI,46.500,-88.250,46088-E3,no,46947.2471048,"Nestoria, MI",16N,133108956.80238315,46947.246980790085
874,New Baltimore,MI,42.625,-82.625,42082-F6,no,48252.2017668,"New Baltimore, MI",17N,142202678.1786002,48252.20183836417
875,New Greenleaf,MI,43.625,-83.000,43083-F1,no,47927.1688741,"New Greenleaf, MI",17N,139935108.1123143,47927.1689436269
876,New Haven,MI,42.625,-82.750,42082-F7,no,48250.6653805,"New Haven, MI",17N,142193621.52241084,48250.66540697517
877,New Lothrop,MI,43.000,-83.875,43083-A8,no,48120.8828627,"New Lothrop, MI",17N,141297845.02051505,48120.88295713787
878,Newaygo,MI,43.375,-85.750,43085-D7,no,47998.7255005,"Newaygo, MI",16N,140445950.71025452,47998.72535955029
879,Newberry,MI,46.250,-85.500,46085-C5,no,47030.2319276,"Newberry, MI",16N,133692545.72913752,47030.231861817636
880,Nighthawk Creek,MI,46.625,-90.125,46090-F2,no,46928.2382466,"Nighthawk Creek, MI",15N,132944281.23211232,46928.23839149663
881,Ninemile Point,MI,45.625,-84.125,45084-F2,no,47254.5132486,"Ninemile Point, MI",16N,135245090.40045565,47254.513079545104
882,Nisula,MI,46.750,-88.750,46088-G7,no,46863.4693814,"Nisula, MI",16N,132520245.77299018,46863.4695340229
883,North Adams,MI,41.875,-84.500,41084-H5,no,48482.2884375,"North Adams, MI",16N,143817328.90220064,48482.28824863068
884,North Branch,MI,43.125,-83.125,43083-B2,no,48086.69078,"North Branch, MI",17N,141052289.91512877,48086.690930394645
885,North Lake,MI,45.375,-87.375,45087-D4,no,47332.8285704,"North Lake, MI",16N,135800024.37121713,47332.82852958886
886,North Manitou Island NE,MI,45.125,-85.875,45085-B8,yes,47412.1999707,"North Manitou Island NE, MI",16N,136360332.16700485,47412.200048522674
887,North Manitou Island SE,MI,45.000,-85.875,45085-A8,yes,47454.5460689,"North Manitou Island SE, MI",16N,136655559.07006252,47454.54616826181
888,North Manitou Island NW,MI,45.125,-86.000,45086-B1,yes,47412.2535973,"North Manitou Island NW, MI",16N,136360639.9534949,47412.25360414747
889,North Manitou Island SW,MI,45.000,-86.000,45086-A1,yes,47454.6594337,"North Manitou Island SW, MI",16N,136656213.4666151,47454.65944151933
890,North Point,MI,45.000,-83.250,45083-A3,no,47474.6937131,"North Point, MI",17N,136771621.71387452,47474.69365990141
891,Northeast Albion,MI,42.250,-84.625,42084-C6,no,48362.0231231,"Northeast Albion, MI",16N,142979746.68283013,48362.023238780304
892,Northland,MI,46.000,-87.500,46087-A5,no,47116.8724013,"Northland, MI",16N,134296352.1174932,47116.87241850402
893,Northland NE,MI,46.125,-87.500,46087-B5,no,47073.3013709,"Northland NE, MI",16N,133993085.76067476,47073.30144210076
894,Northland NW,MI,46.125,-87.625,46087-B6,no,47074.0895497,"Northland NW, MI",16N,133997570.21051183,47074.08960520456
895,Northport,MI,45.125,-85.500,45085-B5,yes,47412.6086467,"Northport, MI",16N,136362682.82065436,47412.60875602783
896,Northport NW,MI,45.125,-85.625,45085-B6,yes,47412.3762098,"Northport NW, MI",16N,136361345.57895,47412.3762095423
897,Northville,MI,42.375,-83.375,42083-D4,no,48324.4381526,"Northville, MI",17N,142715109.66151968,48324.4382152942
898,Northwest Albion,MI,42.250,-84.750,42084-C7,no,48362.4018628,"Northwest Albion, MI",16N,142981984.44293535,48362.401786974646
899,Norvell,MI,42.125,-84.125,42084-B2,no,48401.6641986,"Norvell, MI",16N,143256404.77806005,48401.66426584915
900,Nottawa,MI,41.875,-85.375,41085-H4,no,48487.7417206,"Nottawa, MI",16N,143849684.24858516,48487.74175225266
901,Nunica,MI,43.000,-86.000,43086-A1,no,48124.8615203,"Nunica, MI",16N,141321211.4361629,48124.86156949052
902,Oak Bluff,MI,46.625,-89.250,46089-F3,yes,46914.118811,"Oak Bluff, MI",16N,132864293.33822018,46914.11897533748
903,Oak Grove,MI,42.625,-83.875,42083-F8,no,48241.7653665,"Oak Grove, MI",17N,142141170.6826378,48241.76536034468
904,Oak Lake,MI,44.750,-84.125,44084-G2,yes,47546.1582765,"Oak Lake, MI",16N,137285605.4305228,47546.15828586858
905,Oak Ridge,MI,46.250,-84.125,46084-C2,no,47044.24554,"Oak Ridge, MI",16N,133772229.27302904,47044.245570250765
906,Oak Ridge OE E,MI,46.250,-84.000,46084-C1,no,47046.0802952,"Oak Ridge OE E, MI",16N,133782665.60517384,47046.080401533094
907,Ocqueoc,MI,45.375,-84.000,45084-D1,no,47339.6676186,"Ocqueoc, MI",16N,135839271.22696504,47339.66766350093
908,Ogemaw Springs,MI,44.250,-84.250,44084-C3,no,47710.4294327,"Ogemaw Springs, MI",16N,138434882.04745343,47710.42940698305
909,Ogontz,MI,45.750,-86.750,45086-G7,no,47199.928783,"Ogontz, MI",16N,134879176.96599197,47199.928719691394
910,Olivet,MI,42.375,-84.875,42084-D8,no,48322.3992865,"Olivet, MI",16N,142703067.03002295,48322.39923039241
911,Omena,MI,45.000,-85.500,45085-A5,yes,47454.7868496,"Omena, MI",16N,136656945.71590447,47454.78680768111
912,Omer,MI,44.000,-83.750,44083-A7,no,47796.703091,"Omer, MI",17N,139032798.55517408,47796.703025509334
913,Omer SW,MI,44.000,-83.875,44083-A8,no,47795.5597489,"Omer SW, MI",17N,139026147.7576435,47795.55973392371
914,Onaway,MI,45.250,-84.125,45084-C2,no,47379.8962266,"Onaway, MI",16N,136122672.22023103,47379.896057309554
915,Onekama,MI,44.250,-86.125,44086-C2,no,47708.374806,"Onekama, MI",16N,138422958.21686497,47708.37484016159
916,Onondaga,MI,42.375,-84.500,42084-D5,no,48321.4415603,"Onondaga, MI",16N,142697408.41889283,48321.441452119485
917,Onsted,MI,42.000,-84.125,42084-A2,no,48441.666038,"Onsted, MI",16N,143535081.31601933,48441.66599583373
918,Ontonagon North,MI,46.875,-89.250,46089-H3,no,46824.6594586,"Ontonagon North, MI",16N,132243044.17472744,46824.6595219895
919,Ontonagon South,MI,46.750,-89.250,46089-G3,no,46869.4117676,"Ontonagon South, MI",16N,132553854.12019356,46869.41185367149
920,Orangeville,MI,42.500,-85.500,42085-E5,no,48285.2852459,"Orangeville, MI",16N,142441072.74590316,48285.28537183007
921,Ortonville,MI,42.750,-83.375,42083-G4,no,48204.6206382,"Ortonville, MI",17N,141878721.43765536,48204.620655622326
922,Oscoda,MI,44.375,-83.250,44083-D3,yes,47679.9672248,"Oscoda, MI",17N,138209242.03255796,47679.96718352938
923,Oskar,MI,47.125,-88.625,47088-B6,no,46728.7234125,"Oskar, MI",16N,131584855.22954954,46728.723451160935
924,Ossineke,MI,44.875,-83.375,44083-H4,no,47513.9867649,"Ossineke, MI",17N,137049263.27441055,47513.986797385696
925,Otisville,MI,43.125,-83.500,43083-B5,no,48083.0888532,"Otisville, MI",17N,141031159.4174017,48083.088898682196
926,Otsego,MI,42.375,-85.625,42085-D6,no,48327.2173926,"Otsego, MI",16N,142731525.1217631,48327.21732293549
927,Otsego Lake,MI,44.875,-84.625,44084-H6,no,47500.4839699,"Otsego Lake, MI",16N,136971377.88845292,47500.48394584566
928,Otter Lake,MI,46.875,-88.500,46088-H5,no,46816.6312918,"Otter Lake, MI",16N,132197701.74761428,46816.63136985676
929,Ovid East,MI,43.000,-84.250,43084-A3,no,48119.3685236,"Ovid East, MI",16N,141288951.38772696,48119.368437952195
930,Ovid West,MI,43.000,-84.375,43084-A4,no,48119.0749128,"Ovid West, MI",16N,141287227.35364932,48119.074868348835
931,Owendale,MI,43.625,-83.250,43083-F3,no,47924.0408639,"Owendale, MI",17N,139916843.05144176,47924.0409626623
932,Owosso North,MI,43.000,-84.125,43084-A2,no,48119.7657631,"Owosso North, MI",16N,141291282.939833,48119.76577782982
933,Owosso South,MI,42.875,-84.125,42084-H2,no,48160.2384559,"Owosso South, MI",16N,141573554.3900721,48160.23839045952
934,Oxford,MI,42.750,-83.250,42083-G3,no,48205.6616472,"Oxford, MI",17N,141884848.77610895,48205.661667459746
935,Ozark,MI,46.125,-84.875,46084-B8,no,47077.6787682,"Ozark, MI",16N,134018006.81351918,47077.67886199219
936,Ozark NE,MI,46.125,-84.750,46084-B7,no,47078.9016884,"Ozark NE, MI",16N,134024966.418467,47078.90155026234
937,Ozark SE,MI,46.000,-84.750,46084-A7,no,47121.265827,"Ozark SE, MI",16N,134321398.47585613,47121.26583902395
938,Palmer,MI,46.375,-87.500,46087-D5,no,46985.9937131,"Palmer, MI",16N,133385237.56807949,46985.99364283613
939,Palms,MI,43.500,-82.750,43082-E7,no,47970.9603851,"Palms, MI",17N,140237471.95748857,47970.96032814063
940,Palmyra,MI,41.750,-83.875,41083-G8,no,48521.4474984,"Palmyra, MI",17N,144090784.08772007,48521.44750472054
941,Palo,MI,43.000,-84.875,43084-A8,no,48118.9673575,"Palo, MI",16N,141286593.57926768,48118.96724989468
942,Parkdale,MI,44.250,-86.250,44086-C3,no,47709.0374393,"Parkdale, MI",16N,138426806.05828077,47709.03753629755
943,Parkers Corners,MI,42.500,-84.000,42084-E1,no,48281.5344561,"Parkers Corners, MI",16N,142418942.8729483,48281.53438829165
944,Parma,MI,42.250,-84.500,42084-C5,no,48361.7520272,"Parma, MI",16N,142978141.56708443,48361.751956637
945,Passage Island,MI,48.125,-88.250,48088-B3,no,46369.2139925,"Passage Island, MI",16N,129084189.44565716,46369.21390786834
946,Passage Island OE N,MI,48.250,-88.250,48088-C3,no,46324.3846811,"Passage Island OE N, MI",16N,128771647.51866864,46324.384533371755
947,Paulding,MI,46.375,-89.125,46089-D2,no,47001.5717432,"Paulding, MI",16N,133473700.32962292,47001.57172846378
948,Paw Paw,MI,42.125,-85.875,42085-B8,no,48411.5957515,"Paw Paw, MI",16N,143315199.28485593,48411.59589329147
949,Payment,MI,46.500,-84.125,46084-E2,no,46959.6831276,"Payment, MI",16N,133179484.74576557,46959.68310176796
950,Paynesville,MI,46.500,-89.000,46089-E1,yes,46955.3736641,"Paynesville, MI",16N,133155042.14947347,46955.37365985401
951,Wellston NE,MI,44.125,-85.750,44085-B7,no,47748.8532862,"Wellston NE, MI",16N,138706507.61594582,47748.853266094775
952,Wellston,MI,44.125,-85.875,44085-B8,no,47749.2755454,"Wellston, MI",16N,138708961.214564,47749.275644782385
953,Stewart Lake,MI,44.000,-85.750,44085-A7,no,47790.6533914,"Stewart Lake, MI",16N,138997605.1962829,47790.65336387293
954,Peacock,MI,44.000,-85.875,44085-A8,no,47791.1354735,"Peacock, MI",16N,139000410.879487,47791.135509726846
955,Peck,MI,43.250,-82.750,43082-C7,no,48051.2282104,"Peck, MI",17N,140799082.91375923,48051.228118399835
956,Pelkie,MI,46.750,-88.625,46088-G6,no,46862.1978718,"Pelkie, MI",16N,132513053.15216258,46862.19782059951
957,Pellston,MI,45.500,-84.750,45084-E7,no,47290.083603,"Pellston, MI",16N,135502090.5311947,47290.08372583097
958,Pendills Lake,MI,46.375,-84.750,46084-D7,no,46993.9890898,"Pendills Lake, MI",16N,133430639.80043092,46993.9891955403
959,Peninsula Point,MI,45.625,-86.875,45086-F8,no,47243.4599909,"Peninsula Point, MI",16N,135181830.69300833,47243.46007416873
960,Pentwater,MI,43.750,-86.375,43086-G4,no,47878.0822034,"Pentwater, MI",16N,139601781.10561255,47878.082177134784
961,Perch Lake,MI,46.250,-88.625,46088-C6,no,47039.4385106,"Perch Lake, MI",16N,133744892.65501776,47039.438503882004
962,Pere Cheney,MI,44.500,-84.625,44084-E6,no,47625.3142946,"Pere Cheney, MI",16N,137843265.89860463,47625.31420590919
963,Perkins,MI,45.875,-87.000,45087-H1,no,47157.6499307,"Perkins, MI",16N,134583554.21148175,47157.64997876958
