OBJECTID,FIPSCode,Name,FeatureID,MapLayout,FIPSNum,Label,Type,CntyCode,Peninsula,MGFVersion,Shape__Area,Shape__Length
68,135,Oscoda,fc91b377-e165-46a6-a078-32f6a035f39f,Portrait,135,Oscoda County,County,135,Lower,V25,1479526912.695221,153950.351972415
69,137,Otsego,29bd0eb4-e61e-438e-8e09-0a231e85d40b,Landscape,137,Otsego County,County,137,Lower,V25,1362064569.0195007,153356.523278298
70,139,Ottawa,6ba27202-446e-4888-8ed2-05e99d95fabd,Landscape,139,Ottawa County,County,139,Lower,V25,4228424601.326683,309423.0660367148
71,141,Presque Isle,0fdf40ae-1acb-4d04-81c4-ad780a27e3ef,Landscape,141,Presque Isle County,County,141,Lower,V25,6676200159.69696,363971.3431272993
72,143,Roscommon,eb0069cd-42c0-4326-8f3d-f61a9df610df,Landscape,143,Roscommon County,County,143,Lower,V25,1501203136.131424,154264.041348693
73,145,Saginaw,c684bdd1-6e14-4df9-a344-93da0f63ea14,Landscape,145,Saginaw County,County,145,Lower,V25,2111863606.9519043,206141.9670388321
74,147,St. Clair,8ff0d65d-948d-482b-ad1f-e352da885b97,Portrait,147,St. Clair County,County,147,Lower,V25,2165876717.7170258,241571.12984792393
75,149,St. Joseph,c42ea871-1cd5-4e77-b8fb-04ef39db4344,Landscape,149,St. Joseph County,County,149,Lower,V25,1348762263.4608994,151800.58101739112
76,151,Sanilac,9c046a23-0595-49bf-9371-7aa1d9403a12,Landscape,151,Sanilac County,County,151,Lower,V25,4117362067.3899994,262812.51457819116
77,153,Schoolcraft,76fff2b6-fe18-4d44-be36-70141673877f,Portrait,153,Schoolcraft County,County,153,Upper,V25,4898567555.69545,322428.92596129916
78,155,Shiawassee,3246eeb9-3357-49d4-8e10-7af33f823c6a,Portrait,155,Shiawassee County,County,155,Lower,V25,1399981451.5099335,150145.33394161364
79,157,Tuscola,ee64c40a-294e-4f83-8046-8bb9d0b29f3b,Portrait,157,Tuscola County,County,157,Lower,V25,2370699303.294937,223554.75910748367
80,159,Van Buren,a8e98104-1228-4455-8b27-94aa2935de48,Landscape,159,Van Buren County,County,159,Lower,V25,2823244794.341812,292342.8420170639
81,161,Washtenaw,b3571996-303e-4946-83ba-b6a1212c48c1,Landscape,161,Washtenaw County,County,161,Lower,V25,1869625545.7433167,175261.13240285928
82,163,Wayne,4d3df23b-68d2-47ff-b1d7-ae8a72a93164,Landscape,163,Wayne County,County,163,Lower,V25,1742170517.9646378,213120.3764186376
83,165,Wexford,68edd8ef-d124-40a1-a131-dc86421c16c3,Landscape,165,Wexford County,County,165,Lower,V25,1489143920.0051117,154741.22586372145
