FID,UNITNAME,GISID,SUBTYPE,UNITNBR,Shape__Area,Shape__Length,GlobalID
8634,Stillwater Cove,GIS0000298,Properties not operated as CSP units,210,377275.6015625,4907.4647352117,f9599cd3-f482-4de6-be59-9bc768f2926b
8635,Pilcha (West Mesa) CP,GIS0000301,SubUnit,959,8233901.875,11467.968337594362,e15460cd-78b8-47dc-837a-eaf78b32dcf1
8636,Kumeyaay Soapstone CP,GIS0000302,SubUnit,962,780347.125,3576.7235595617594,843fd198-35ef-41cc-92b2-bac347b24449
8637,Providence Mountains SRA - Designated Hunting Zone,GIS0000305,Special Use Areas,538,13727936.0078125,27653.694120133336,ad5aec09-8791-4ca3-a57f-0c20edf38251
8638,Point Sur Dunes NP,GIS0000307,SubUnit,992,96878.60546875,1673.6791348063293,f1a81c7d-4ff5-4def-8c72-f400cf00b1b3
8639,Clear Lake SP,GIS0000308,Park Unit or Property,218,3912592.95703125,18410.66251521799,031d78a4-1589-4bdb-af3a-342dc328371f
8640,Clear Lake SP,GIS0000310,Cooperative Mgmt Area,218,112329.1171875,2384.1424012504644,22def6f9-98e0-4331-b4bb-0606afa154eb
8641,Asilomar SB,GIS0000311,Park Unit or Property,436,669196.515625,9920.264079054801,f48edcd0-79ce-424c-bbad-079a763262b6
8642,Topanga SP,GIS0000312,Cooperative Mgmt Area,572,45593.0078125,1445.81181128075,c551eb4c-0613-4186-8c7e-f2512b589e0e
8643,Pan Pacific Park,GIS0000314,Divested Units and Properties,501,161216.03125,2346.9613714362413,d5ef79c2-6084-4667-b531-8a9f68acf92c
8644,Indio Hills Palms,GIS0000315,Cooperative Mgmt Area,646,23770.96875,1904.8954348333618,5e3eb384-415b-4c78-a61a-bdb9a2338b17
8645,Robert Louis Stevenson SP,GIS0000316,Cooperative Mgmt Area,215,3434561.80859375,9948.285634617161,b9a14adf-7536-458e-a2df-0e1db15ec084
8646,Ahjumawi Lava Springs SP,GIS0000317,Cooperative Mgmt Area,190,56400.2734375,6620.100993154966,9870e9da-d5ca-4e21-95e6-151aca2b71f8
8647,Ahjumawi Lava Springs SP,GIS0000318,Park Unit or Property,190,46448988.5703125,56981.09929986914,e2d599f1-0946-492e-8f48-985117f6347d
8648,John Little SNR,GIS0000319,Cooperative Mgmt Area,438,229.73828125,76.00412960966914,1f372594-f3ee-4f21-9331-6d2c3a0afa08
8649,San Luis Reservoir SRA - O'Neil Forebay Wildlife Area,GIS0000321,Properties not operated as CSP units,333,5177327.33984375,13080.877900183144,b7e2e631-7032-4d46-bfcd-75c7ebe67134
8650,San Luis Reservoir SRA - Dam Operations Area,GIS0000322,Properties not operated as CSP units,333,6363754.64453125,23106.236736674997,72d18ee3-5aa2-4fad-801b-a7853740d625
8651,Huntington City Beach,GIS0000323,Properties not operated as CSP units,534,410262.734375,9508.056719303597,41644709-6930-4af1-89ee-fe7bc6bba7b7
8652,Bolsa Chica SB,GIS0000324,Park Unit or Property,534,760572.93359375,12314.296007766972,5dfd1369-7ca9-46a9-b047-a06df1bb948b
8653,Morro Dunes NP,GIS0000325,SubUnit,975,5446295.22265625,18728.610157881285,56fc0710-837e-4846-93b2-b412962bedb4
