OBJECTID,AIRPORTID,FACILITY,MAPLABEL,CITY,COUNTY,FNCTNLCLSS,STATECLASS,FAASRVCLVL,FAASITENO,DISTRICT,F5010URL,Shape__Area,Shape__Length
187,MHV,MOJAVE AIRPORT,MOJAVE,Mojave,Kern,Regional,REGIONAL-Business/Corporate,General Aviation,01899.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=MHV,17948214.438665956,19852.26823776583
188,MYF,MONTGOMERY FIELD,MONTGOMERY FIELD,San Diego,San Diego,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,02166.*A,11,http://www.gcr1.com/5010web/airport.cfm?Site=MYF,3165504.295429955,9113.614432201812
189,O02,NERVINO AIRPORT,NERVINO,Beckwourth,Plumas,Community,COMMUNITY,General Aviation,01307.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=O02,1510923.487322615,9013.59964643473
190,O27,OAKDALE MUNICIPAL AIRPORT,OAKDALE MUNI,Oakdale,Stanislaus,Community,COMMUNITY,General Aviation,01970.*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=O27,757194.032352965,5490.954279918889
191,L90,OCOTILLO AIRPORT,OCOTILLO,Ocotillo Wells,San Diego,Limited Use,LIMITED USE,Not a NPIAS Facility,01979.*A,11,http://www.gcr1.com/5010web/airport.cfm?Site=L90,2220489.03370729,7087.893228382727
192,L73,POSO-KERN COUNTY AIRPORT,POSO,Famoso,Kern,Limited Use,LIMITED USE,Not a NPIAS Facility,01569.3*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=L73,2452939.055034015,6436.027958757862
193,O39,RAVENDALE AIRPORT,RAVENDALE,Ravendale,Lassen,Limited Use,LIMITED USE,Not a NPIAS Facility,02082.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=O39,156456.61746587,2941.4725833206544
194,O32,REEDLEY MUNICIPAL AIRPORT,REEDLEY MUNI,Reedley,Fresno,Community,COMMUNITY,General Aviation,02099.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=O32,868978.817148755,4869.247282662854
195,L67,RIALTO MUNICIPAL/ART SCHOLL MEMORIAL FIELD AIRPORT,RIALTO MUNI,Rialto,San Bernardino,Community,COMMUNITY,Reliever,02103.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=L67,2744070.12563701,9818.834214013157
196,O05,ROGERS FIELD AIRPORT,ROGERS FIELD,Chester,Plumas,Regional,REGIONAL,General Aviation,01392.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=O05,1668100.537823875,10892.430847059446
197,O09,ROUND VALLEY AIRPORT,ROUND VALLEY,Covelo,Mendocino,Community,COMMUNITY,General Aviation,01458.*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=O09,684535.553942215,5240.047095945833
198,MIT,SHAFTER AIRPORT - MINTER FIELD,SHAFTER MINTER FIELD,Shafter,Kern,Regional,REGIONAL-Business/Corporate,General Aviation,02292.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=MIT,7414918.717117665,13888.94881262688
199,L61,SHOSHONE AIRPORT,SHOSHONE,Shoshone,Inyo,Limited Use,LIMITED USE,Not a NPIAS Facility,02295.*A,9,http://www.gcr1.com/5010web/airport.cfm?Site=L61,219582.720476025,3147.9963694423873
200,O15,TURLOCK MUNICIPAL AIRPORT,TURLOCK MUNI,Turlock,Merced,Community,COMMUNITY,General Aviation,02376.*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=O15,2057955.05151781,6957.5785714063195
201,O41,WATTS - WOODLAND AIRPORT,WATTS - WOODLAND,Woodland,Yolo,Community,COMMUNITY,Not a NPIAS Facility,02467.*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=O41,508700.574150725,4078.3017697623504
202,O46,WEED AIRPORT,WEED,Weed,Siskiyou,Community,COMMUNITY,General Aviation,02434.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=O46,2479472.197780975,9681.435757191617
203,M90,WILLIAM R. JOHNSTON (MENDOTA) AIRPORT,WILLIAM R. JOHNSTON,Mendota,Fresno,Community,COMMUNITY,General Aviation,01882.2*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=M90,742564.70870747,4809.350194450598
204,O28,WILLITS MUNICIPAL AIRPORT,WILLITS MUNI,Willits,Mendocino,Community,COMMUNITY-Recreation,General Aviation,02455.1*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=O28,510992.871488405,4307.121155278921
205,O42,WOODLAKE AIRPORT,WOODLAKE,Woodlake,Tulare,Community,COMMUNITY,General Aviation,02463.51*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=O42,526973.38423086,4141.772332194674
206,MYV,YUBA COUNTY AIRPORT,YUBA COUNTY,Marysville,Yuba,Regional,REGIONAL-Business/Corporate,General Aviation,01873.*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=MYV,4077667.63314519,12102.518707329617
207,BUR,BOB HOPE AIRPORT,BOB HOPE,Burbank,Los Angeles,Commercial/Primary,PRIMARY-MEDIUM HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,01353.*A,7,http://www.gcr1.com/5010web/airport.cfm?Site=BUR,3315995.038003155,13525.375001568935
208,SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,SAN FRANCISCO INT'L,San Francisco,San Mateo,Commercial/Primary,PRIMARY-LARGE HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,02187.*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=SFO,17992433.826511625,32970.79740731045
209,SAN,SAN DIEGO INTERNATIONAL AIRPORT,SAN DIEGO INT'L,San Diego,San Diego,Commercial/Primary,PRIMARY-LARGE HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,02170.*A,11,http://www.gcr1.com/5010web/airport.cfm?Site=SAN,3028717.0485253,10008.047306182163
210,SNA,"JOHN WAYNE AIRPORT, ORANGE CO.",JOHN WAYNE,Santa Ana,Orange,Commercial/Primary,PRIMARY-MEDIUIM HUB-METROPOLITAN-Business/Corporat,Commercial Service Primar,02230.*A,12,http://www.gcr1.com/5010web/airport.cfm?Site=SNA,2590748.73720979,8666.686198372036
211,LGB,LONG BEACH AIRPORT DAUGHERTY FIELD,LONG BEACH,Long Beach,Los Angeles,Commercial/Primary,PRIMARY-SMALL HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,01794.*A,7,http://www.gcr1.com/5010web/airport.cfm?Site=LGB,6857604.52444409,16744.227209108893
212,PSP,PALM SPRINGS INTERNATIONAL AIRPORT,PALM SPRINGS INT'L,Palm Springs,Riverside,Commercial/Primary,PRIMARY-SMALL HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,02017.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=PSP,5199075.608706215,13353.26522595038
213,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES INT'L,Los Angeles,Los Angeles,Commercial/Primary,PRIMARY-LARGE HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,01818.*A,7,http://www.gcr1.com/5010web/airport.cfm?Site=LAX,20216286.309195343,25626.41604280193
214,ONT,ONTARIO INTERNATIONAL AIRPORT,ONTARIO INT'L,Ontario,San Bernardino,Commercial/Primary,PRIMARY-MEDIUM HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,01986.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=ONT,10368375.93819958,20431.54934423537
215,SBA,SANTA BARBARA MUNICIPAL AIRPORT,SANTA BARBARA MUNI,Santa Barbara,Santa Barbara,Commercial/Primary,PRIMARY-SMALL HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,02235.*A,5,http://www.gcr1.com/5010web/airport.cfm?Site=SBA,5732619.741323465,12391.999789112351
216,FAT,FRESNO YOSEMITE INTERNATIONAL AIRPORT,FRESNO YOSEMITE INT'L,Fresno,Fresno,Commercial/Primary,PRIMARY-SMALL HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,01591.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=FAT,7985007.17211785,12886.34733725501
217,SJC,"SAN JOSE INTERNATIONAL AIRPORT, NORMAN Y. MINETA",SAN JOSE INT'L,San Jose,Santa Clara,Commercial/Primary,PRIMARY-MEDUIM HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,02204.*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=SJC,6173835.636672625,10865.519567618678
218,SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,SAN FRANCISCO INT'L,San Francisco,San Mateo,Commercial/Primary,PRIMARY-LARGE HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,02187.*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=SFO,14706997.737027625,37425.942534018934
219,OAK,METROPOLITAN OAKLAND INTERNATIONAL AIRPORT,METRO OAKLAND INT'L,Oakland,Alameda,Commercial/Primary,PRIMARY-MEDIUM HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,01971.*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=OAK,15845660.96558619,21815.518708078183
220,SCK,STOCKTON METROPOLITAN AIRPORT,STOCKTON METROPOLITAN,Stockton,San Joaquin,Commercial/Primary,PRIMARY-NON HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,02314.*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=SCK,6223456.02821025,12812.246285734323
221,SMF,SACRAMENTO INTERNATIONAL AIRPORT,SACRAMENTO INT'L,Sacramento,Sacramento,Commercial/Primary,PRIMARY-MEDIUM HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,02124.2*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=SMF,26895050.65578056,33780.57483495106
